Accession	Virus	Author	Publication_Title	Journal	Database
JX069798	RSV-A	Lorenzi,H., Halpin,R., Nguyen,A., Fedorova,N., Overton,L., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Shapiro,C.A., Williams,J., Peebles,S., Chi,M., Wentworth,D.E. and Moore,M.L.	Direct Submission	Submitted (04-MAY-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KP317953	RSV-A	Agoti,C.N., Otieno,J.R., Munywoki,P.K., Mwihuri,A.G., Cane,P.A., Nokes,D.J., Kellam,P. and Cotten,M.	Local evolutionary patterns of human respiratory syncytial virus derived from whole-genome sequencing	J. Virol. 89 (7), 3444-3454 (2015)	ViPR-BRC, Genbank
KP663728	RSV-A	Yun,M.R., Kim,A.R., Lee,H.S., Kim,D.W., Lee,W.J., Kim,K., Kim,S.S. and Kim,Y.J.	Complete genome sequences of human respiratory syncytial virus genotype a and B isolates from South Korea	Genome Announc 3 (2) (2015)	ViPR-BRC, Genbank
KP856969	RSV-A	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (20-FEB-2015) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ939954	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KF826836	RSV-A	Lorenzi,H., Town,C., Halpin,R., Bera,J., Ransier,A., Fedorova,N., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Rebuffo-Scheer,C., Fan,J., He,J., Kehl,S.C., Lederboer,N., Jurgens,L.A., Bose,M.E., Beck,E.T., Kumar,S., Noyola,D.E., Wentworth,D.E. and Henrickson,K.J.	Direct Submission	Submitted (19-SEP-2013) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ939941	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
FJ948820	RSV-A	Widjojoatmodjo,M.N., Boes,J., van Bers,M., van Remmerden,Y., Roholl,P.J. and Luytjes,W.	A highly attenuated recombinant human respiratory syncytial virus lacking the G protein induces long-lasting protection in cotton rats	Virol. J. 7, 114 (2010)	ViPR-BRC, Genbank
KF826826	RSV-A	Lorenzi,H., Town,C., Halpin,R., Bera,J., Ransier,A., Fedorova,N., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Rebuffo-Scheer,C., Fan,J., He,J., Kehl,S.C., Lederboer,N., Jurgens,L.A., Bose,M.E., Beck,E.T., Kumar,S., Noyola,D.E., Wentworth,D.E. and Henrickson,K.J.	Direct Submission	Submitted (19-SEP-2013) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ939939	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KJ939957	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KJ939969	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KJ939967	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KF826837	RSV-A	Lorenzi,H., Town,C., Halpin,R., Bera,J., Ransier,A., Fedorova,N., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Rebuffo-Scheer,C., Fan,J., He,J., Kehl,S.C., Lederboer,N., Jurgens,L.A., Bose,M.E., Beck,E.T., Kumar,S., Noyola,D.E., Wentworth,D.E. and Henrickson,K.J.	Direct Submission	Submitted (19-SEP-2013) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ939953	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KJ939960	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KJ939955	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KJ939968	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KJ939962	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KJ939945	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KJ939971	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
JX069800	RSV-A	Lorenzi,H., Halpin,R., Nguyen,A., Fedorova,N., Overton,L., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Shapiro,C.A., Williams,J., Peebles,S., Chi,M., Wentworth,D.E. and Moore,M.L.	Direct Submission	Submitted (04-MAY-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ939944	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
JQ901452	RSV-A	Tan,L., Lemey,P., Houspie,L., C Viveen,M., Jansen,N.J., van Loon,A.M., Wiertz,E., van Bleek,G.M., Martin,D.P. and Coenjaerts,F.E.	Genetic Variability among Complete Human Respiratory Syncytial Virus Subgroup A Genomes: Bridging Molecular Evolutionary Dynamics and Epidemiology	PLoS ONE 7 (12), E51439 (2012)	ViPR-BRC, Genbank
KJ939936	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KJ939965	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
KJ939966	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
JQ901448	RSV-A	Tan,L., Lemey,P., Houspie,L., C Viveen,M., Jansen,N.J., van Loon,A.M., Wiertz,E., van Bleek,G.M., Martin,D.P. and Coenjaerts,F.E.	Genetic Variability among Complete Human Respiratory Syncytial Virus Subgroup A Genomes: Bridging Molecular Evolutionary Dynamics and Epidemiology	PLoS ONE 7 (12), E51439 (2012)	ViPR-BRC, Genbank
JQ901453	RSV-A	Tan,L., Lemey,P., Houspie,L., C Viveen,M., Jansen,N.J., van Loon,A.M., Wiertz,E., van Bleek,G.M., Martin,D.P. and Coenjaerts,F.E.	Genetic Variability among Complete Human Respiratory Syncytial Virus Subgroup A Genomes: Bridging Molecular Evolutionary Dynamics and Epidemiology	PLoS ONE 7 (12), E51439 (2012)	ViPR-BRC, Genbank
JQ901456	RSV-A	Tan,L., Lemey,P., Houspie,L., C Viveen,M., Jansen,N.J., van Loon,A.M., Wiertz,E., van Bleek,G.M., Martin,D.P. and Coenjaerts,F.E.	Genetic Variability among Complete Human Respiratory Syncytial Virus Subgroup A Genomes: Bridging Molecular Evolutionary Dynamics and Epidemiology	PLoS ONE 7 (12), E51439 (2012)	ViPR-BRC, Genbank
KJ939952	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
JQ901457	RSV-A	Tan,L., Lemey,P., Houspie,L., C Viveen,M., Jansen,N.J., van Loon,A.M., Wiertz,E., van Bleek,G.M., Martin,D.P. and Coenjaerts,F.E.	Genetic Variability among Complete Human Respiratory Syncytial Virus Subgroup A Genomes: Bridging Molecular Evolutionary Dynamics and Epidemiology	PLoS ONE 7 (12), E51439 (2012)	ViPR-BRC, Genbank
JQ901449	RSV-A	Tan,L., Lemey,P., Houspie,L., C Viveen,M., Jansen,N.J., van Loon,A.M., Wiertz,E., van Bleek,G.M., Martin,D.P. and Coenjaerts,F.E.	Genetic Variability among Complete Human Respiratory Syncytial Virus Subgroup A Genomes: Bridging Molecular Evolutionary Dynamics and Epidemiology	PLoS ONE 7 (12), E51439 (2012)	ViPR-BRC, Genbank
JQ901450	RSV-A	Tan,L., Lemey,P., Houspie,L., C Viveen,M., Jansen,N.J., van Loon,A.M., Wiertz,E., van Bleek,G.M., Martin,D.P. and Coenjaerts,F.E.	Genetic Variability among Complete Human Respiratory Syncytial Virus Subgroup A Genomes: Bridging Molecular Evolutionary Dynamics and Epidemiology	PLoS ONE 7 (12), E51439 (2012)	ViPR-BRC, Genbank
JQ901458	RSV-A	Tan,L., Lemey,P., Houspie,L., C Viveen,M., Jansen,N.J., van Loon,A.M., Wiertz,E., van Bleek,G.M., Martin,D.P. and Coenjaerts,F.E.	Genetic Variability among Complete Human Respiratory Syncytial Virus Subgroup A Genomes: Bridging Molecular Evolutionary Dynamics and Epidemiology	PLoS ONE 7 (12), E51439 (2012)	ViPR-BRC, Genbank
KC731483	RSV-A	Choudhary,M.L., Wadhwa,B.S., Jadhav,S.M. and Chadha,M.S.	Complete Genome Sequences of Two Human Respiratory Syncytial Virus Genotype A Strains from India, RSV-A/NIV1114046/11 and RSV-A/NIV1114073/11	Genome Announc 1 (4), e00165-13 (2013)	ViPR-BRC, Genbank
KJ939947	RSV-A	Do,L.A., Wilm,A., van Doorn,H.R., Lam,H.M., Sim,S., Sukumaran,R., Tran,A.T., Nguyen,B.H., Tran,T.T., Tran,Q.H., Vo,Q.B., Tran Dac,N.A., Trinh,H.N., Nguyen,T.T., Le Binh,B.T., Le,K., Nguyen,M.T., Thai,Q.T., Vo,T.V., Ngo,N.Q., Dang,T.K., Cao,N.H., Tran,T.V., Ho,L.V., Farrar,J., De Jong,M., Chen,S., Nagarajan,N., Bryant,J.E. and Hibberd,M.L.	Direct whole-genome deep-sequencing of human respiratory syncytial virus A and B from Vietnamese children identifies distinct patterns of inter- and intra-host evolution	J. Gen. Virol. (2015) In press	ViPR-BRC, Genbank
JQ901455	RSV-A	Tan,L., Lemey,P., Houspie,L., C Viveen,M., Jansen,N.J., van Loon,A.M., Wiertz,E., van Bleek,G.M., Martin,D.P. and Coenjaerts,F.E.	Genetic Variability among Complete Human Respiratory Syncytial Virus Subgroup A Genomes: Bridging Molecular Evolutionary Dynamics and Epidemiology	PLoS ONE 7 (12), E51439 (2012)	ViPR-BRC, Genbank
KJ627324	RSV-A	Wentworth,D.E., Halpin,R.A., Bera,J., Lin,X., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Garcia,J., Laguna-Torres,V.A., Leguia,M., Benavides,J.G. and Halsey,E.	Direct Submission	Submitted (24-MAR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
JQ901454	RSV-A	Tan,L., Lemey,P., Houspie,L., C Viveen,M., Jansen,N.J., van Loon,A.M., Wiertz,E., van Bleek,G.M., Martin,D.P. and Coenjaerts,F.E.	Genetic Variability among Complete Human Respiratory Syncytial Virus Subgroup A Genomes: Bridging Molecular Evolutionary Dynamics and Epidemiology	PLoS ONE 7 (12), E51439 (2012)	ViPR-BRC, Genbank
