strain	strain_name	segment	date	host	country	subtype	virus_species	hpiv_subtype
KJ672602	HPIV3/Homo_sapiens/PER/FLE7202/2009	NA	2009-11-20	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672590	HPIV3/Homo_sapiens/PER/CFI0241/2010	NA	2010-01-21	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672608	HPIV3/Homo_sapiens/PER/CFI0242/2010	NA	2010-01-26	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672609	HPIV3/Homo_sapiens/PER/FLE8246/2010	NA	2010-02-05	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672567	HPIV3/Homo_sapiens/PER/FLE8169/2010	NA	2010-03-01	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672544	HPIV3/Homo_sapiens/PER/FLE8638/2010	NA	2010-03-09	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672599	HPIV3/Homo_sapiens/PER/FLE9271/2010	NA	2010-03-29	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672611	HPIV3/Homo_sapiens/PER/FLE9483/2010	NA	2010-04-23	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672592	HPIV3/Homo_sapiens/PER/FLE9499/2010	NA	2010-04-28	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672555	HPIV3/Homo_sapiens/PER/FLE9753/2010	NA	2010-05-18	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672580	HPIV3/Homo_sapiens/PER/FLI1399/2010	NA	2010-05-31	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672566	HPIV3/Homo_sapiens/PER/FLI1374/2010	NA	2010-06-01	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672570	HPIV3/Homo_sapiens/PER/FLI1375/2010	NA	2010-06-02	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672598	HPIV3/Homo_sapiens/PER/FLI1585/2010	NA	2010-06-23	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672577	HPIV3/Homo_sapiens/PER/CFI0405/2010	NA	2010-07-02	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672589	HPIV3/Homo_sapiens/PER/FLI2129/2010	NA	2010-07-19	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672563	HPIV3/Homo_sapiens/PER/FLI2131/2010	NA	2010-07-19	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672568	HPIV3/Homo_sapiens/PER/FLI3275/2010	NA	2010-08-20	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672586	HPIV3/Homo_sapiens/PER/FLI3288/2010	NA	2010-08-27	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672541	HPIV3/Homo_sapiens/PER/FLI3293/2010	NA	2010-08-31	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672579	HPIV3/Homo_sapiens/PER/FLI4230/2010	NA	2010-09-16	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672559	HPIV3/Homo_sapiens/PER/CFI1004/2010	NA	2010-10-07	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672543	HPIV3/Homo_sapiens/PER/FLI4734/2010	NA	2010-10-11	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672613	HPIV3/Homo_sapiens/PER/CFI1036/2010	NA	2010-10-15	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672548	HPIV3/Homo_sapiens/PER/FLI5761/2010	NA	2010-11-18	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672574	HPIV3/Homo_sapiens/PER/FPP00066/2010	NA	2010-12-09	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672582	HPIV3/Homo_sapiens/PER/FPP00352/2011	NA	2011-03-25	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672587	HPIV3/Homo_sapiens/PER/FPP00367/2011	NA	2011-03-28	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672554	HPIV3/Homo_sapiens/PER/FPP00404/2011	NA	2011-04-06	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672536	HPIV3/Homo_sapiens/PER/FPP00491/2011	NA	2011-05-02	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672571	HPIV3/Homo_sapiens/PER/FPP00522/2011	NA	2011-05-12	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672575	HPIV3/Homo_sapiens/PER/FPP00525/2011	NA	2011-05-12	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672581	HPIV3/Homo_sapiens/PER/FPP00543/2011	NA	2011-05-17	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672535	HPIV3/Homo_sapiens/PER/FPP00580/2011	NA	2011-05-30	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672549	HPIV3/Homo_sapiens/PER/FPP00584/2011	NA	2011-05-31	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672557	HPIV3/Homo_sapiens/PER/FPP00625/2011	NA	2011-06-17	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672537	HPIV3/Homo_sapiens/PER/FPP00635/2011	NA	2011-06-20	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672569	HPIV3/Homo_sapiens/PER/CFI1376/2011	NA	2011-06-21	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672591	HPIV3/Homo_sapiens/PER/CFI1377/2011	NA	2011-06-21	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672533	HPIV3/Homo_sapiens/PER/FPP00794/2011	NA	2011-08-29	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672614	HPIV3/Homo_sapiens/PER/FPI02659/2011	NA	2011-10-27	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672553	HPIV3/Homo_sapiens/PER/FPI02674/2011	NA	2011-10-28	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672584	HPIV3/Homo_sapiens/PER/CFI1587/2012	NA	2012-01-11	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672583	HPIV3/Homo_sapiens/PER/FPP01224/2012	NA	2012-01-27	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672585	HPIV3/Homo_sapiens/PER/FPP01265/2012	NA	2012-02-13	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672595	HPIV3/Homo_sapiens/PER/FPP01362/2012	NA	2012-03-12	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672618	HPIV3/Homo_sapiens/PER/CFI1849/2012	NA	2012-05-14	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672531	HPIV3/Homo_sapiens/PER/FPP01456/2012	NA	2012-05-22	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
AB623434	HPIVi/Yamagata/2002/1559	NA	2002-06-01	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623538	HPIVi/Yamagata/2006/1183	NA	2006-05-08	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
GU732157	BJ/279/09	NA	2009-05-XX	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
AB623694	HPIVi/Yamagata/2009/1896	NA	2009-08-25	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KT796473	NSVH2014_16_07133	NA	2014-04-14	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
KT796535	NSVH2015_15_96555	NA	2015-04-06	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
GU732150	BJ/236/09	NA	2009-04-XX	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
AB623457	HPIVi/Yamagata/2003/1595	NA	2003-05-22	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KP690794	12_s_176	NA	2012-07-20	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
KT796539	NSVH2015_15_99033	NA	2015-04-10	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
KF687353	HPIV3/FRA/30254042/2010	NA	2010-06-24	Human	France	NA	Human_parainfluenza_virus_3	HPIV3
JQ901412	Para_flu_che_2_2011-XX-XX	NA	2011-XX-XX	Human	India	NA	Human_parainfluenza_virus_3	HPIV3
JQ268865	FLI2812	NA	2010-03-XX	Human	Colombia	NA	Human_parainfluenza_virus_3	HPIV3
JQ268896	CFI00326	NA	2010-05-XX	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
AB623651	HPIVi/Yamagata/2009/1280	NA	2009-05-22	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
JQ268894	FLU8613	NA	2007-10-XX	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KF217152	HSJD1036	NA	2012-07-12	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
KF600603	ShangHai/210/09	NA	2009-06-12	Human	China	3	Human_parainfluenza_virus_3	HPIV3
AB623667	HPIVi/Yamagata/2009/1337	NA	2009-05-28	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KP690739	11_s_45	NA	2011-04-25	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
KF687336	HPIV3/ZAF/1145978/2007-XX-XX	NA	2007-XX-XX	Human	South_Africa	NA	Human_parainfluenza_virus_3	HPIV3
AB623662	HPIVi/Yamagata/2009/1301	NA	2009-05-26	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KT765996	HNRG.029.09	NA	2009-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
KT796486	NSVH2014_23_32398	NA	2014-06-04	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
KT796509	NSVH2014_42_75209	NA	2014-10-15	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
GU732162	BJ/312/09	NA	2009-07-XX	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
KF600606	ShangHai/2552/10	NA	2010-06-08	Human	China	3	Human_parainfluenza_virus_3	HPIV3
AB623570	HPIVi/Yamagata/2007/1478	NA	2007-07-05	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623650	HPIVi/Yamagata/2009/1254	NA	2009-05-21	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623689	HPIVi/Yamagata/2009/1835	NA	2009-08-19	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KT796493	NSVH2014_25_29674	NA	2014-06-16	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
GU732164	BJ/323/09	NA	2009-07-XX	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
AB623495	HPIVi/Yamagata/2005/1469	NA	2005-06-29	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KT765892	HNRG.043.11	NA	2011-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
JQ268890	FLA9806	NA	2009-07-XX	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
AB831648	27_PIV4	NA	2012-XX-XX	Unknown	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623480	HPIVi/Yamagata/2005/1087	NA	2005-05-17	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623459	HPIVi/Yamagata/2004/796	NA	2004-05-18	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623619	HPIVi/Yamagata/2008/1623	NA	2008-08-11	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KT766010	HNRG.058.12	NA	2012-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
KF217150	HSJD1031	NA	2012-07-09	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
KP690788	12_s_108	NA	2012-04-03	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
KT796550	NSVH2015_20_67163	NA	2015-05-17	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
KF687327	HPIV3/MEX/3593/2007	NA	2007-02-16	Human	Mexico	NA	Human_parainfluenza_virus_3	HPIV3
KP690787	11_s_62	NA	2011-05-04	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
KT765945	HNRG.093.13	NA	2013-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
KT765924	HNRG.011.09	NA	2009-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
AB623427	HPIVi/Yamagata/2002/1472	NA	2002-05-28	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KP690752	12_s_136	NA	2012-05-09	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
GU732158	BJ/291/09	NA	2009-06-XX	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
AB623474	HPIVi/Yamagata/2004/1148	NA	2004-07-01	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
JX131648	Riyadh_119/2009	NA	2009-01-18	Human	Saudi_Arabia	NA	Human_parainfluenza_virus_3	HPIV3
AB623467	HPIVi/Yamagata/2004/931	NA	2004-06-07	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623500	HPIVi/Yamagata/2005/1515	NA	2005-07-04	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623502	HPIVi/Yamagata/2005/1524	NA	2005-07-05	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623618	HPIVi/Yamagata/2008/1620	NA	2008-08-09	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KF217167	HSJD746	NA	2011-05-26	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
KF530238	HPIV3/AUS/4/2007-XX-XX	NA	2007-XX-XX	Human	Australia	NA	Human_parainfluenza_virus_3	HPIV3
AB623510	HPIVi/Yamagata/2005/1582	NA	2005-07-13	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623501	HPIVi/Yamagata/2005/1522	NA	2005-07-05	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KT765911	HNRG.053.11	NA	2011-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
KJ187012	CU316	NA	2012-03-08	Human	Thailand	NA	Human_parainfluenza_virus_3	HPIV3
KT765979	HNRG.095.13	NA	2013-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
KF687340	HPIV3/ZAF/3372/2010	NA	2010-10-15	Human	South_Africa	NA	Human_parainfluenza_virus_3	HPIV3
KT765922	HNRG.025.09	NA	2009-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
KP690755	12_s_202	NA	2012-08-10	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
KT765954	HNRG.118.13	NA	2013-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
KT796528	NSVH2015_13_89296	NA	2015-03-24	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
AB623527	HPIVi/Yamagata/2005/1777	NA	2005-08-05	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KT766000	HNRG.057.11	NA	2011-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
KT796495	NSVH2014_26_32584	NA	2014-06-23	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
AB623492	HPIVi/Yamagata/2005/1443	NA	2005-06-29	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KT765916	HNRG.041.11	NA	2011-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
JQ268869	FLA3642	NA	2008-08-XX	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
AB623663	HPIVi/Yamagata/2009/1305	NA	2009-05-26	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623424	HPIVi/Yamagata/2002/1392	NA	2002-05-14	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623557	HPIVi/Yamagata/2007/1250	NA	2007-06-05	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623600	HPIVi/Yamagata/2008/1236	NA	2008-06-13	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KT766004	HNRG.002.09	NA	2009-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
GU732165	BJ/324/09	NA	2009-08-XX	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
KT796531	NSVH2015_13_91612	NA	2015-03-28	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
KJ187002	CU23	NA	2010-08-11	Human	Thailand	NA	Human_parainfluenza_virus_3	HPIV3
AB623432	HPIVi/Yamagata/2002/1552	NA	2002-05-31	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KT898928	Pavia/13164/2015	NA	2015-06-XX	Human	Italy	NA	Human_parainfluenza_virus_3	HPIV3
KT765936	HNRG.096.13	NA	2013-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
AB623493	HPIVi/Yamagata/2005/1457	NA	2005-06-27	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623478	HPIVi/Yamagata/2004/1225	NA	2004-07-12	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623454	HPIVi/Yamagata/2003/1508	NA	2003-05-13	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623473	HPIVi/Yamagata/2004/1082	NA	2004-06-18	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KT796478	NSVH2014_18_15565	NA	2014-04-30	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
AB623524	HPIVi/Yamagata/2005/1763	NA	2005-08-03	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623647	HPIVi/Yamagata/2009/1249	NA	2009-05-18	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KP690746	11_s_41	NA	2011-04-25	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
AB623536	HPIVi/Yamagata/2006/1006	NA	2006-04-17	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623444	HPIVi/Yamagata/2003/1258	NA	2003-04-16	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623458	HPIVi/Yamagata/2003/1840	NA	2003-06-20	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623609	HPIVi/Yamagata/2008/1349	NA	2008-07-02	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
AB623542	HPIVi/Yamagata/2006/1427	NA	2006-05-26	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KT796557	NSVH2014_33_68566	NA	2014-08-16	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
AB623464	HPIVi/Yamagata/2004/879	NA	2004-06-02	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KT765939	HNRG.083.12	NA	2012-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
GU732132	BJ/005/08	NA	2008-06-XX	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
KF217161	HSJD272	NA	2010-03-04	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
KF687351	HPIV3/FRA/28015134/2008	NA	2008-01-04	Human	France	NA	Human_parainfluenza_virus_3	HPIV3
AB623606	HPIVi/Yamagata/2008/1340	NA	2008-06-30	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
KT765997	HNRG.049.11	NA	2011-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
AB623509	HPIVi/Yamagata/2005/1572	NA	2005-07-11	Human	Japan	NA	Human_parainfluenza_virus_3	HPIV3
JQ268895	FFLE6222	NA	2008-12-XX	Human	Bolivia	NA	Human_parainfluenza_virus_3	HPIV3
KP690775	12_s_182	NA	2012-07-27	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
KF530243	HPIV3/AUS/3/2007-XX-XX	NA	2007-XX-XX	Human	Australia	NA	Human_parainfluenza_virus_3	HPIV3
KF530257	HPIV3/ARG/15318/2007	NA	2007-09-14	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
KF687355	HPIV3/FRA/31084077/2011	NA	2011-02-24	Human	France	NA	Human_parainfluenza_virus_3	HPIV3
KP690753	12_s_137	NA	2012-05-15	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
KT796471	NSVH2014_15_06216	NA	2014-04-12	Human	Spain	NA	Human_parainfluenza_virus_3	HPIV3
JX131646	Riyadh_45/2008	NA	2008-03-16	Human	Saudi_Arabia	NA	Human_parainfluenza_virus_3	HPIV3
KT765946	HNRG.059.12	NA	2012-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_3	HPIV3
JQ268872	FLA6722	NA	2009-04-XX	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KP690759	12_s_227	NA	2012-08-27	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
KP690772	13_s_56	NA	2013-03-17	Human	China	NA	Human_parainfluenza_virus_3	HPIV3
JQ268885	FLA8335	NA	2009-06-XX	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
