strain	strain_name	segment	date	host	country	subtype	virus_species	hpiv_subtype
AB641281	HPIVi/Yamagata/2009/1660	NA	2009-07-22	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530206	HPIV1/ARG/16482/2008-XX-XX	NA	2008-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_1	HPIV1
AB641249	HPIVi/Yamagata/2007/1907	NA	2007-08-30	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KT336349	HPIV1i/Zagreb.HR/46.13_1643_	NA	2013-11-13	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641302	HPIVi/Yamagata/2009/2225	NA	2009-10-03	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268807	FLE9677	NA	2010-04-XX	Human	Argentina	NA	Human_parainfluenza_virus_1	HPIV1
AB641192	HPIVi/Yamagata/2005/1569	NA	2005-07-09	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB897870	HPIV1/Ehime/2012/4	NA	2012-04-11	Human	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641289	HPIVi/Yamagata/2009/1986	NA	2009-09-01	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641201	HPIVi/Yamagata/2005/1774	NA	2005-08-10	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641183	HPIVi/Yamagata/2005/1472	NA	2005-06-30	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530215	HPIV1/FRA/27343049/2007	NA	2007-08-22	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
JQ268834	FLU6011	NA	2007-02-XX	Human	Honduras	NA	Human_parainfluenza_virus_1	HPIV1
KJ187013	CU317	NA	2012-03-08	Human	Thailand	NA	Human_parainfluenza_virus_1	HPIV1
KT336335	HPIV1i/Zagreb.HR/48.11_18491_	NA	2011-12-01	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KT336350	HPIV1i/Zagreb.HR/50.13_1833_	NA	2013-12-10	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KU050084	HPIV1s/Zagreb.HR/38.11_14501_	NA	2011-09-19	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KT992797	HPIV1s/Zagreb.HR/38.11_14501_	NA	2011-09-19	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KT336332	HPIV1i/Zagreb.HR/40.11_15425_	NA	2011-10-08	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
JQ268810	FLA8805	NA	2009-02-XX	Human	Colombia	NA	Human_parainfluenza_virus_1	HPIV1
AB641189	HPIVi/Yamagata/2005/1513	NA	2005-07-02	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KU050091	HPIV1s/Zagreb.HR/47.12_3225_	NA	2012-11-22	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KT992803	HPIV1s/Zagreb.HR/47.12_3225_	NA	2012-11-22	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
JQ268817	FLA4181	NA	2008-09-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
KF530209	HPIV1/FRA/31225147/2011	NA	2011-06-03	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
AB641149	HPIVi/Yamagata/2004/1379	NA	2004-08-04	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641209	HPIVi/Yamagata/2005/2105	NA	2005-09-16	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641170	HPIVi/Yamagata/2005/1228	NA	2005-06-02	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641290	HPIVi/Yamagata/2009/2009	NA	2009-08-31	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530204	HPIV1/ZAF/2530/2008	NA	2008-08-26	Human	South_Africa	NA	Human_parainfluenza_virus_1	HPIV1
AB641273	HPIVi/Yamagata/2009/1541	NA	2009-07-01	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641278	HPIVi/Yamagata/2009/1623	NA	2009-07-14	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530196	HPIV1/MEX/3040/2006	NA	2006-10-31	Human	Mexico	NA	Human_parainfluenza_virus_1	HPIV1
AB641295	HPIVi/Yamagata/2009/2075	NA	2009-09-08	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641171	HPIVi/Yamagata/2005/1229	NA	2005-06-02	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641261	HPIVi/Yamagata/2008/1663	NA	2008-08-18	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641191	HPIVi/Yamagata/2005/1543	NA	2005-07-01	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268816	FLE9690	NA	2010-04-XX	Human	Argentina	NA	Human_parainfluenza_virus_1	HPIV1
AB641184	HPIVi/Yamagata/2005/1494	NA	2005-07-04	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641165	HPIVi/Yamagata/2005/1164	NA	2005-05-23	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KU050087	HPIV1s/Zagreb.HR/48.11_18491_	NA	2011-12-01	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KT992800	HPIV1s/Zagreb.HR/48.11_18491_	NA	2011-12-01	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB853068	K23_PIV1	NA	2012-XX-XX	Human	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641312	HPIVi/Yamagata/2009/2573	NA	2009-11-02	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641243	HPIVi/Yamagata/2007/1577	NA	2007-07-13	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641160	HPIVi/Yamagata/2005/1060	NA	2005-05-13	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641264	HPIVi/Yamagata/2008/2276	NA	2008-12-08	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641233	HPIVi/Yamagata/2006/1086	NA	2006-04-26	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641274	HPIVi/Yamagata/2009/1542	NA	2009-07-01	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641292	HPIVi/Yamagata/2009/2044	NA	2009-09-09	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641309	HPIVi/Yamagata/2009/2352	NA	2009-10-17	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641267	HPIVi/Yamagata/2009/1309	NA	2009-05-26	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JF416792	KPIV_07_2	NA	2007-09-17	Human	South_Korea	1	Human_parainfluenza_virus_1	HPIV1
AB641190	HPIVi/Yamagata/2005/1535	NA	2005-06-07	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530216	HPIV1/USA/38761A/2011	NA	2011-10-10	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
AB641132	HPIVi/Yamagata/2002/1433	NA	2002-05-21	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530219	HPIV1/FRA/31026021/2011	NA	2011-01-15	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
AB641198	HPIVi/Yamagata/2005/1694	NA	2005-07-26	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641232	HPIVi/Yamagata/2006/890	NA	2006-04-03	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF687315	HPIV1/USA/32193A/2010	NA	2010-04-09	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KF687310	HPIV1/AUS/54/2007-XX-XX	NA	2007-XX-XX	Human	Australia	NA	Human_parainfluenza_virus_1	HPIV1
KT992805	HPIV1s/Zagreb.HR/46.13_1638_	NA	2013-11-13	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KU050093	HPIV1s/Zagreb.HR/46.13_1638_	NA	2013-11-13	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641207	HPIVi/Yamagata/2005/1902	NA	2005-08-22	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641265	HPIVi/Yamagata/2009/1251	NA	2009-05-19	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JF416791	KPIV_07_20	NA	2007-09-10	Human	South_Korea	1	Human_parainfluenza_virus_1	HPIV1
AB641271	HPIVi/Yamagata/2009/1441	NA	2009-06-15	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KT336334	HPIV1i/Zagreb.HR/47.11_18133_	NA	2011-10-27	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641262	HPIVi/Yamagata/2008/2017	NA	2008-10-30	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641296	HPIVi/Yamagata/2009/2111	NA	2009-09-11	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268803	FLU8619	NA	2007-10-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
JQ268836	FLI3715	NA	2010-08-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
JQ268833	FLE6898	NA	2009-09-XX	Human	Colombia	NA	Human_parainfluenza_virus_1	HPIV1
AB641300	HPIVi/Yamagata/2009/2143	NA	2009-09-24	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641143	HPIVi/Yamagata/2003/2030	NA	2003-07-19	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641182	HPIVi/Yamagata/2005/1465	NA	2005-06-29	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KJ187008	CU282	NA	2012-02-06	Human	Thailand	NA	Human_parainfluenza_virus_1	HPIV1
KM190940	VIROAF9	NA	2012-02-02	Human	Thailand	NA	Human_parainfluenza_virus_1	HPIV1
AB641228	HPIVi/Yamagata/2006/379	NA	2006-02-06	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530221	HPIV1/AUS/53/2007-XX-XX	NA	2007-XX-XX	Human	Australia	NA	Human_parainfluenza_virus_1	HPIV1
AB641156	HPIVi/Yamagata/2005/908	NA	2005-04-18	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641224	HPIVi/Yamagata/2006/55	NA	2006-01-06	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268823	FLA2325	NA	2008-04-XX	Human	Argentina	NA	Human_parainfluenza_virus_1	HPIV1
AB641222	HPIVi/Yamagata/2005/2658	NA	2005-12-06	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530208	HPIV1/FRA/26503037/2006	NA	2006-12-13	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
KT992804	HPIV1s/Zagreb.HR/44.13_1564_	NA	2013-10-30	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KU050092	HPIV1s/Zagreb.HR/44.13_1564_	NA	2013-10-30	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KF687311	HPIV1/ZAF/879/2010	NA	2010-05-19	Human	South_Africa	NA	Human_parainfluenza_virus_1	HPIV1
AB641173	HPIVi/Yamagata/2005/1265	NA	2005-06-03	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641276	HPIVi/Yamagata/2009/1597	NA	2009-07-13	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641220	HPIVi/Yamagata/2005/2624	NA	2005-12-07	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641286	HPIVi/Yamagata/2009/1786	NA	2009-08-07	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641239	HPIVi/Yamagata/2007/1412	NA	2007-06-25	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB853066	K16_PIV1	NA	2012-XX-XX	Human	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641188	HPIVi/Yamagata/2005/1504	NA	2005-07-06	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641246	HPIVi/Yamagata/2007/1657	NA	2007-07-30	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530211	HPIV1/USA/33095J/2011	NA	2011-06-24	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
AB641250	HPIVi/Yamagata/2007/1916	NA	2007-09-11	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641146	HPIVi/Yamagata/2004/759	NA	2004-05-12	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530214	HPIV1/ZAF/2614/2010	NA	2010-08-13	Human	South_Africa	NA	Human_parainfluenza_virus_1	HPIV1
AB641285	HPIVi/Yamagata/2009/1686	NA	2009-07-27	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641147	HPIVi/Yamagata/2004/1071	NA	2004-06-17	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268821	FLI2694	NA	2009-11-XX	Human	Colombia	NA	Human_parainfluenza_virus_1	HPIV1
AB641294	HPIVi/Yamagata/2009/2064	NA	2009-09-06	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641161	HPIVi/Yamagata/2005/1094	NA	2005-05-18	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KT336344	HPIV1i/Zagreb.HR/47.12_3225_	NA	2012-11-22	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641152	HPIVi/Yamagata/2005/862	NA	2005-04-11	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268813	FLA8825	NA	2009-03-XX	Human	Colombia	NA	Human_parainfluenza_virus_1	HPIV1
JQ268809	FLI2028	NA	2010-04-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
JQ268802	FLU8516	NA	2007-09-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
AB641310	HPIVi/Yamagata/2009/2358	NA	2009-10-21	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KJ187011	CU311	NA	2012-02-27	Human	Thailand	NA	Human_parainfluenza_virus_1	HPIV1
MW654442	GER/1340/16_17	NA	2016-12-21	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654443	GER/1900/13_14	NA	2014-02-14	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH684373	HPIV1/Zagreb.HR/49.17_2825_	NA	2017-12-04	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MT063390	PREDICT_THAH18176	NA	2018-XX-XX	Human	Thailand	NA	Human_respirovirus_1	HPIV1
JQ901993	HPIV1/WI/629_D02130/2009	NA	2009-10-06	Human	USA	NA	Human_respirovirus_1	HPIV1
MH684396	HPIV1/Zagreb.HR/3.18_208_	NA	2018-01-19	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MH684409	HPIV1/Zagreb.HR/40.11_15413__+2	NA	2011-10-07	Human	Croatia	NA	Human_respirovirus_1	HPIV1
KC577220	MBAGATHI/10/01/19	NA	2010-01-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MT063697	PREDICT_INAH0015	NA	2017-XX-XX	Human	India	NA	Human_respirovirus_1	HPIV1
MW654428	GER/0447/15_16	NA	2015-11-16	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912723	MY_U3150/13	NA	2013-11-29	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
KX912734	MY_U3874/14	NA	2014-05-09	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
MH684398	HPIV1/Zagreb.HR/41.13_1469_	NA	2013-10-08	Human	Croatia	NA	Human_respirovirus_1	HPIV1
KX912716	MY_U1158/12	NA	2012-09-12	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
MT063643	PREDICT_SNAH0005	NA	2017-XX-XX	Human	Senegal	NA	Human_respirovirus_1	HPIV1
MW654436	GER/0778/13_14	NA	2013-12-11	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH828707	vzhpiv15	NA	2014-12-01	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
JQ901998	HPIV1/WI/629_D00387/2009	NA	2009-10-22	Human	USA	NA	Human_respirovirus_1	HPIV1
KX912702	MY_U190/12	NA	2012-03-26	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
LC486559	HPIV1s/SaitamaC.JPN/15_213	NA	2015-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MW654440	GER/0920/15_16	NA	2015-12-17	Human	Germany	NA	Human_respirovirus_1	HPIV1
LC486542	HPIV1s/SaitamaC.JPN/12_155	NA	2012-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MW654387	GER/5378/16_17	NA	2017-07-05	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH684392	HPIV1/Zagreb.HR/2.14_45_	NA	2014-01-11	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MH006617	HPIV1/VietNam/006/2009	NA	2009-11-23	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
MK167033	HPIV1/Seattle/USA/5T5/2005-XX-XX	NA	2005-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
MT063688	PREDICT_INAH0008	NA	2017-XX-XX	Human	India	NA	Human_respirovirus_1	HPIV1
KC577223	MBAGATHI/10/03/22	NA	2010-03-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
JQ901983	HPIV1/WI/629_003/2007-XX-XX	NA	2007-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
MW654413	GER/5707/16_17	NA	2017-09-14	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654446	GER/4762/18_19	NA	2019-09-09	Human	Germany	NA	Human_respirovirus_1	HPIV1
LC720863	PIV1_Fukushima_O876_2019-XX-XX	NA	2019-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
KC577224	MBAGATHI/10/05/23	NA	2010-05-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MH684403	HPIV1/Zagreb.HR/40.17_2265_	NA	2017-10-01	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MN488697	UNKNOWN_MN488697	NA	2006-01-30	Human	Netherlands	NA	Human_respirovirus_1	HPIV1
MT063468	PREDICT_INAH0005	NA	2017-XX-XX	Human	India	NA	Human_respirovirus_1	HPIV1
JQ901996	HPIV1/WI/629_D01164/2009	NA	2009-10-20	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901976	HPIV1/WI/629_003/1997	NA	1997-10-16	Human	USA	NA	Human_respirovirus_1	HPIV1
KC577213	MBAGATHI/08/10/12	NA	2008-10-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MH684372	HPIV1/Zagreb.HR/50.17_2891_	NA	2017-12-10	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC486555	HPIV1s/SaitamaC.JPN/14_771	NA	2014-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
LC486574	HPIV1s/SaitamaC.JPN/18_486	NA	2018-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
LC486539	HPIV1s/SaitamaC.JPN/12_99	NA	2012-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MW654393	GER/3939/18_19	NA	2019-04-02	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654424	GER/0240/15_16	NA	2015-10-26	Human	Germany	NA	Human_respirovirus_1	HPIV1
JQ901978	HPIV1/WI/629_008/1997	NA	1997-11-22	Human	USA	NA	Human_respirovirus_1	HPIV1
KX912719	MY_U1402/12	NA	2012-11-05	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
MH006621	HPIV1/VietNam/064/2010	NA	2010-10-04	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
MH684381	HPIV1/Zagreb.HR/44.17_2522_	NA	2017-11-02	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MW654407	GER/5335/16_17	NA	2017-06-26	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654426	GER/0313/15_16	NA	2015-11-02	Human	Germany	NA	Human_respirovirus_1	HPIV1
JQ902010	HPIV1/WI/629_D02071/2010	NA	2010-03-02	Human	USA	NA	Human_respirovirus_1	HPIV1
MH684378	HPIV1/Zagreb.HR/38.15_1487_	NA	2015-09-20	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MH684393	HPIV1/Zagreb.HR/41.17_2333_	NA	2017-10-09	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MW654409	GER/0826/16_17	NA	2016-12-02	Human	Germany	NA	Human_respirovirus_1	HPIV1
JQ902002	HPIV1/WI/629_D02072/2009	NA	2009-11-18	Human	USA	NA	Human_respirovirus_1	HPIV1
LC486546	HPIV1s/SaitamaC.JPN/12_221	NA	2012-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
LC486552	HPIV1s/SaitamaC.JPN/14_340	NA	2014-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
LC486540	HPIV1s/SaitamaC.JPN/12_125	NA	2012-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
KY674966	HPIV1/Seattle/USA/12O3/2016-XX-XX	NA	2016-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
MW654439	GER/0902/15_16	NA	2015-12-16	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912725	MY_U3242/13	NA	2013-12-16	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
JQ901999	HPIV1/WI/629_D02143/2009	NA	2009-10-24	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901982	HPIV1/WI/629_A31/2005	NA	2005-11-09	Human	USA	NA	Human_respirovirus_1	HPIV1
MH684386	HPIV1/Zagreb.HR/44.15_1839_	NA	2015-11-30	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MN488699	UNKNOWN_MN488699	NA	2007-12-04	Human	Netherlands	NA	Human_respirovirus_1	HPIV1
MW654386	GER/4801/18_19	NA	2019-09-16	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912733	MY_U3762/14	NA	2014-04-07	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
LC486569	HPIV1s/SaitamaC.JPN/17_668	NA	2017-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MT063439	PREDICT_BDAH0577	NA	2018-XX-XX	Human	Bangladesh	NA	Human_respirovirus_1	HPIV1
MW654438	GER/0865/15_16	NA	2015-12-14	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912729	MY_U3585/14	NA	2014-03-03	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
KC577214	MBAGATHI/08/10/13	NA	2008-10-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MW654395	GER/5671/16_17	NA	2017-09-04	Human	Germany	NA	Human_respirovirus_1	HPIV1
JQ902000	HPIV1/WI/629_D01463/2009	NA	2009-11-07	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901972	HPIV1/WI/629_002/1997	NA	1997-09-22	Human	USA	NA	Human_respirovirus_1	HPIV1
MH684400	HPIV1/Zagreb.HR/33.17_2043_	NA	2017-08-14	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MK989715	20693_68_HPIV1	NA	2010-06-03	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MW654411	GER/1389/17_18	NA	2017-12-21	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654445	GER/2272/15_16	NA	2016-02-22	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH006620	HPIV1/VietNam/063/2010	NA	2010-04-20	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
KC577219	MBAGATHI/09/12/18	NA	2009-12-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MW654389	GER/0598/17_18	NA	2017-11-13	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654392	GER/0499/17_18	NA	2017-11-07	Human	Germany	NA	Human_respirovirus_1	HPIV1
JQ901987	HPIV1/WI/629_D00057/2009	NA	2009-09-29	Human	USA	NA	Human_respirovirus_1	HPIV1
MH006616	HPIV1/VietNam/005/2009	NA	2009-04-02	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
KX912724	MY_U3191/13	NA	2013-12-09	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
LC486556	HPIV1s/SaitamaC.JPN/14_772	NA	2014-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MW654396	GER/4943/17_18	NA	2018-03-05	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH684410	HPIV1/Zagreb.HR/50.11_18794_	NA	2011-12-11	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC486562	HPIV1s/SaitamaC.JPN/16_185	NA	2016-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MW654391	GER/5718/16_17	NA	2017-09-11	Human	Germany	NA	Human_respirovirus_1	HPIV1
MW654410	GER/1178/17_18	NA	2017-12-12	Human	Germany	NA	Human_respirovirus_1	HPIV1
KX912705	MY_U361/12	NA	2012-04-23	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
MH684388	HPIV1/Zagreb.HR/47.15_1746_	NA	2015-10-16	Human	Croatia	NA	Human_respirovirus_1	HPIV1
KC577206	MBAGATHI/07/08/03	NA	2007-08-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
KC577210	MBAGATHI/08/04/09	NA	2008-04-XX	Human	Kenya	NA	Human_respirovirus_1	HPIV1
KX912712	MY_U820/12	NA	2012-07-09	Human	Malaysia	NA	Human_respirovirus_1	HPIV1
MH684395	HPIV1/Zagreb.HR/1.18_87_	NA	2018-01-05	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MW654412	GER/5030/16_17	NA	2017-05-08	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH684399	HPIV1/Zagreb.HR/32.17_2031__+3	NA	2017-08-06	Human	Croatia	NA	Human_respirovirus_1	HPIV1
LC486565	HPIV1s/SaitamaC.JPN/16_448	NA	2016-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MT063485	PREDICT_INAH0038	NA	2017-XX-XX	Human	India	NA	Human_respirovirus_1	HPIV1
MT063467	PREDICT_INAH0004	NA	2017-XX-XX	Human	India	NA	Human_respirovirus_1	HPIV1
MW654431	GER/0527/15_16	NA	2015-11-19	Human	Germany	NA	Human_respirovirus_1	HPIV1
LC486547	HPIV1s/SaitamaC.JPN/12_240	NA	2012-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
LC486578	HPIV1s/SaitamaC.JPN/18_664	NA	2018-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MK167042	HPIV1/Los_Angeles/USA/CHLA45/2017-XX-XX	NA	2017-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
MW654408	GER/5661/16_17	NA	2017-09-04	Human	Germany	NA	Human_respirovirus_1	HPIV1
LC486563	HPIV1s/SaitamaC.JPN/16_407	NA	2016-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MW654437	GER/0839/15_16	NA	2015-12-10	Human	Germany	NA	Human_respirovirus_1	HPIV1
MH684374	HPIV1/Zagreb.HR/44.17_2510_	NA	2017-11-02	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MH684382	HPIV1/Zagreb.HR/49.13_1794_	NA	2013-12-05	Human	Croatia	NA	Human_respirovirus_1	HPIV1
MT232426	2019AZ	NA	2019-11-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
KY967354	HPIV1/Seattle/USA/10D6/2015-XX-XX	NA	2015-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
