strain	strain_name	date	country	host
MW816004.1	HAdV7/China/Hubei/19B0009136/2019-05-25	2019-05-25	China	Homo sapiens
MW816005.1	HAdV7/China/Hubei/19B0009139/2019-05-01	2019-05-01	China	Homo sapiens
MW816006.1	HAdV7/China/Hubei/19B0009141/2019-05-01	2019-05-01	China	Homo sapiens
MW816007.1	HAdV7/China/Hubei/19B0009142/2019-04-30	2019-04-30	China	Homo sapiens
MW816008.1	HAdV7/China/Hubei/19B0009146/2019-05-13	2019-05-13	China	Homo sapiens
MW816009.1	HAdV7/China/Hubei/19B0009147/2019-05-11	2019-05-11	China	Homo sapiens
MW816010.1	HAdV7/China/Hubei/19B0009149/2019-04-29	2019-04-29	China	Homo sapiens
MW816011.1	HAdV7/China/Hubei/19B0012250/2019-05-09	2019-05-09	China	Homo sapiens
MW816012.1	HAdV7/China/Hubei/19B0012251/2019-04-26	2019-04-26	China	Homo sapiens
MW816013.1	HAdV7/China/Hubei/19B0012259/2019-05-26	2019-05-26	China	Homo sapiens
MW816014.1	HAdV7/China/Hubei/19B0012262/2019-05-23	2019-05-23	China	Homo sapiens
MW816015.1	HAdV7/China/Hubei/19B0012265/2019-05-23	2019-05-23	China	Homo sapiens
MW816016.1	HAdV7/China/Hubei/19B0012269/2019-05-22	2019-05-22	China	Homo sapiens
MW816017.1	HAdV7/China/Hubei/19B0012271/2019-05-13	2019-05-13	China	Homo sapiens
MW816018.1	HAdV7/China/Hubei/19B0012273/2019-04-17	2019-04-17	China	Homo sapiens
MW816019.1	HAdV7/China/Hubei/19B0012276/2019-03-29	2019-03-29	China	Homo sapiens
MW816020.1	HAdV7/China/Hubei/19B0012967/2019-01-19	2019-01-19	China	Homo sapiens
MW816021.1	HAdV7/China/Hubei/19B0013009/2019-03-06	2019-03-06	China	Homo sapiens
MW816022.1	HAdV7/China/Hubei/19B0013027/2019-03-07	2019-03-07	China	Homo sapiens
MW816023.1	HAdV7/China/Hubei/19B0013131/2019-04-13	2019-04-13	China	Homo sapiens
MW816024.1	HAdV7/China/Hubei/19B0013132/2019-04-08	2019-04-08	China	Homo sapiens
MW816025.1	HAdV7/China/Hubei/19B0013142/2019-04-20	2019-04-20	China	Homo sapiens
MW816026.1	HAdV7/China/Hubei/19B0013148/2019-06-13	2019-06-13	China	Homo sapiens
MW816027.1	HAdV7/China/Hubei/19B0019388/2019-04-15	2019-04-15	China	Homo sapiens
MW816028.1	HAdV7/China/Hubei/19B0019427/2019-04-25	2019-04-25	China	Homo sapiens
MW816029.1	HAdV7/China/Hubei/19B0019495/2019-05-07	2019-05-07	China	Homo sapiens
MW816030.1	HAdV7/China/Hubei/19B0024324/2019-03-22	2019-03-22	China	Homo sapiens
MW816031.1	HAdV7/China/Hubei/19B0024328/2019-03-23	2019-03-23	China	Homo sapiens
MW816032.1	HAdV7/China/Hubei/19B0027613/2019-04-02	2019-04-02	China	Homo sapiens
MW816033.1	HAdV7/China/Hubei/19B0027619/2019-04-07	2019-04-07	China	Homo sapiens
MW816034.1	HAdV7/China/Hubei/19B0027743/2019-04-22	2019-04-22	China	Homo sapiens
MW816035.1	HAdV7/China/Hubei/19B0048511/2019-04-16	2019-04-16	China	Homo sapiens
MW816036.1	HAdV7/China/Hubei/19B0048580/2019-05-12	2019-05-12	China	Homo sapiens
MW816037.1	HAdV7/China/Hubei/19B0048593/2019-05-15	2019-05-15	China	Homo sapiens
MW816038.1	HAdV7/China/Hubei/19B0048644/2019-05-17	2019-05-17	China	Homo sapiens
MW816039.1	HAdV7/China/Hubei/19B0048645/2019-05-17	2019-05-17	China	Homo sapiens
MW816040.1	HAdV7/China/Hubei/19B0048769/2019-06-05	2019-06-05	China	Homo sapiens
MW816041.1	HAdV7/China/Hubei/19B0048770/2019-06-04	2019-06-04	China	Homo sapiens
MW816042.1	HAdV7/China/Hubei/19B0048771/2019-06-03	2019-06-03	China	Homo sapiens
MW816043.1	HAdV7/China/Hubei/19B0063953/2019-06-22	2019-06-22	China	Homo sapiens
MW816044.1	HAdV7/China/Hubei/19B0063957/2019-07-03	2019-07-03	China	Homo sapiens
MW816045.1	HAdV7/China/Hubei/19B0063958/2019-07-03	2019-07-03	China	Homo sapiens
MW816046.1	HAdV7/China/Hubei/19B0063959/2019-07-01	2019-07-01	China	Homo sapiens
MW816047.1	HAdV7/China/Hubei/19B0063985/2019-06-26	2019-06-26	China	Homo sapiens
MW816048.1	HAdV7/China/Hubei/19B0063986/2019-06-26	2019-06-26	China	Homo sapiens
MW816049.1	HAdV7/China/Hubei/19B0069202/2019-08-18	2019-08-18	China	Homo sapiens
MW816050.1	HAdV7/China/Hubei/19B0082502/2019-05-29	2019-05-29	China	Homo sapiens
MW816051.1	HAdV7/China/Hubei/19B0082504/2019-06-01	2019-06-01	China	Homo sapiens
MW816052.1	HAdV7/China/Hubei/19B0082515/2019-05-31	2019-05-31	China	Homo sapiens
MW816053.1	HAdV7/China/Hubei/19B0082559/2019-06-22	2019-06-22	China	Homo sapiens
MW816054.1	HAdV7/China/Hubei/19B0082562/2019-06-24	2019-06-24	China	Homo sapiens
MW816055.1	HAdV7/China/Hubei/19B0090149/2019-06-29	2019-06-29	China	Homo sapiens
MW816056.1	HAdV7/China/Hubei/19B0090151/2019-06-28	2019-06-28	China	Homo sapiens
MW816057.1	HAdV7/China/Hubei/19B0090152/2019-06-29	2019-06-29	China	Homo sapiens
MW816058.1	HAdV7/China/Hubei/19B0090199/2019-07-04	2019-07-04	China	Homo sapiens
MW816059.1	HAdV7/China/Hubei/19B0090204/2019-07-06	2019-07-06	China	Homo sapiens
MW816060.1	HAdV7/China/Hubei/19B0090207/2019-07-05	2019-07-05	China	Homo sapiens
MW816061.1	HAdV7/China/Hubei/19B0090208/2019-07-09	2019-07-09	China	Homo sapiens
MW816062.1	HAdV7/China/Hubei/19B0090212/2019-07-12	2019-07-12	China	Homo sapiens
MW816063.1	HAdV7/China/Hubei/19B0090250/2019-07-04	2019-07-04	China	Homo sapiens
MW816064.1	HAdV7/China/Hubei/19B0090259/2019-07-29	2019-07-29	China	Homo sapiens
MW816065.1	HAdV7/China/Hubei/19B0090270/2019-07-21	2019-07-21	China	Homo sapiens
MW816066.1	HAdV7/China/Hubei/19B0090273/2019-07-20	2019-07-20	China	Homo sapiens
MW816067.1	HAdV7/China/Hubei/19B0090275/2019-07-15	2019-07-15	China	Homo sapiens
MW816068.1	HAdV7/China/Hubei/19B0090276/2019-07-18	2019-07-18	China	Homo sapiens
MW816069.1	HAdV7/China/Hubei/19B0090277/2019-07-07	2019-07-07	China	Homo sapiens
MW816070.1	HAdV7/China/Hubei/19B0090330/2019-07-15	2019-07-15	China	Homo sapiens
MW816071.1	HAdV7/China/Hubei/19B0090494/2019-08-26	2019-08-26	China	Homo sapiens
MW816072.1	HAdV7/China/Hubei/19B0090497/2019-08-14	2019-08-14	China	Homo sapiens
MW816073.1	HAdV7/China/Hubei/19S0009088/2019-05-17	2019-05-17	China	Homo sapiens
MW816074.1	HAdV7/China/Hubei/19S0012260/2019-05-06	2019-05-06	China	Homo sapiens
MW816075.1	HAdV7/China/Hubei/19S0012958/2019-03-27	2019-03-27	China	Homo sapiens
MW816076.1	HAdV7/China/Hubei/19S0012977/2019-02-13	2019-02-13	China	Homo sapiens
MW816077.1	HAdV7/China/Hubei/19S0012982/2019-02-27	2019-02-27	China	Homo sapiens
MW816078.1	HAdV7/China/Hubei/19S0012984/2019-02-15	2019-02-15	China	Homo sapiens
MW816079.1	HAdV7/China/Hubei/19S0013005/2019-02-20	2019-02-20	China	Homo sapiens
MW816081.1	HAdV7/China/Hubei/19S0016355/2019-01-29	2019-01-29	China	Homo sapiens
MW816082.1	HAdV7/China/Hubei/19S0016367/2019-02-12	2019-02-12	China	Homo sapiens
MW816083.1	HAdV7/China/Hubei/19S0016369/2019-02-20	2019-02-20	China	Homo sapiens
MW816084.1	HAdV7/China/Hubei/19S0016415/2019-02-01	2019-02-01	China	Homo sapiens
MW816085.1	HAdV7/China/Hubei/19S0016442/2019-02-10	2019-02-10	China	Homo sapiens
MW816086.1	HAdV7/China/Hubei/19S0016447/2019-02-17	2019-02-17	China	Homo sapiens
MW816087.1	HAdV7/China/Hubei/19S0016451/2019-02-11	2019-02-11	China	Homo sapiens
MW816088.1	HAdV7/China/Hubei/19S0019386/2019-04-09	2019-04-09	China	Homo sapiens
MW816089.1	HAdV7/China/Hubei/19S0024187/2019-02-20	2019-02-20	China	Homo sapiens
MW816090.1	HAdV7/China/Hubei/19S0024189/2019-02-21	2019-02-21	China	Homo sapiens
MW816091.1	HAdV7/China/Hubei/19S0024193/2019-03-03	2019-03-03	China	Homo sapiens
MW816092.1	HAdV7/China/Hubei/19S0024314/2019-03-12	2019-03-12	China	Homo sapiens
MW816093.1	HAdV7/China/Hubei/19S0024321/2019-03-19	2019-03-19	China	Homo sapiens
MW816094.1	HAdV7/China/Hubei/19S0024341/2019-03-26	2019-03-26	China	Homo sapiens
MW816095.1	HAdV7/China/Hubei/19S0024343/2019-03-25	2019-03-25	China	Homo sapiens
MW816096.1	HAdV7/China/Hubei/19S0027593/2019-04-18	2019-04-18	China	Homo sapiens
MW816097.1	HAdV7/China/Hubei/19S0027686/2019-04-26	2019-04-26	China	Homo sapiens
MW816098.1	HAdV7/China/Hubei/19S0027702/2019-04-23	2019-04-23	China	Homo sapiens
MW816099.1	HAdV7/China/Hubei/19S0027704/2019-04-25	2019-04-25	China	Homo sapiens
MW816100.1	HAdV7/China/Hubei/19S0027747/2019-04-20	2019-04-20	China	Homo sapiens
MW816101.1	HAdV7/China/Hubei/19S0082726/2019-06-07	2019-06-07	China	Homo sapiens
MN422292.1	HAdV-B/USA/HLH 2-11/2019/P7H7F7	2019-05-XX	USA	Homo sapiens
MN422293.1	HAdV-B/USA/HLH 3-19/2019/P7H7F7	2019-05-XX	USA	Homo sapiens
MN422294.1	HAdV-B/USA/HLH 4-22/2019/P7H7F7	2019-06-XX	USA	Homo sapiens
MN422295.1	HAdV-B/USA/HLH 5-27/2019/P7H7F7	2019-05-XX	USA	Homo sapiens
MT920215.1	GZ/2019	2019-04-14	China	Homo sapiens
MT941567.1	GZ/2019	2019-XX-XX	China	Homo sapiens
MT941568.1	GZ/2019	2019-XX-XX	China	Homo sapiens
MT950360.1	GZ/2019	2019-06-25	China	Homo sapiens
MT950361.1	GZ/2019	2019-06-28	China	Homo sapiens
MT993342.1	GZ/2019	2019-07-03	China	Homo sapiens
MW091531.1	GZ/2019	2019-06-15	China	Homo sapiens
MW151243.1	GZ/2019	2019-09-16	China	Homo sapiens
MW054858.1	None	2020-05-27	Germany	Homo sapiens
MT350344.1	None	2018-XX-XX	China	Homo sapiens
MT350345.1	None	2018-XX-XX	China	Homo sapiens
MT350346.1	None	2018-XX-XX	China	Homo sapiens
MT367394.1	None	2015-XX-XX	China	Homo sapiens
MT367395.1	None	2015-XX-XX	China	Homo sapiens
MT367396.1	None	2015-XX-XX	China	Homo sapiens
MT367397.1	None	2014-XX-XX	China	Homo sapiens
MT367398.1	None	2014-XX-XX	China	Homo sapiens
MT367399.1	None	2015-XX-XX	China	Homo sapiens
MT367400.1	None	2016-XX-XX	China	Homo sapiens
MT367401.1	None	2017-XX-XX	China	Homo sapiens
MT367402.1	None	2017-XX-XX	China	Homo sapiens
MT367403.1	None	2017-XX-XX	China	Homo sapiens
MT367404.1	None	2017-XX-XX	China	Homo sapiens
MT367405.1	None	2017-XX-XX	China	Homo sapiens
MT367406.1	None	2018-XX-XX	China	Homo sapiens
MT367407.1	None	2018-XX-XX	China	Homo sapiens
MW748641.1	None	2016-XX-XX	China	Homo sapiens
MW748642.1	None	2017-XX-XX	China	Homo sapiens
MW748643.1	None	2017-XX-XX	China	Homo sapiens
MW748644.1	None	2017-XX-XX	China	Homo sapiens
MW748645.1	None	2017-XX-XX	China	Homo sapiens
MW748646.1	None	2017-XX-XX	China	Homo sapiens
MW748647.1	None	2018-XX-XX	China	Homo sapiens
MW748648.1	None	2018-XX-XX	China	Homo sapiens
MW748649.1	None	2018-XX-XX	China	Homo sapiens
MW748650.1	None	2018-XX-XX	China	Homo sapiens
MW748651.1	None	2018-XX-XX	China	Homo sapiens
MW748652.1	None	2018-XX-XX	China	Homo sapiens
MW748653.1	None	2018-XX-XX	China	Homo sapiens
MW748654.1	None	2018-XX-XX	China	Homo sapiens
MW748655.1	None	2018-XX-XX	China	Homo sapiens
MW748656.1	None	2018-XX-XX	China	Homo sapiens
MW748657.1	None	2018-XX-XX	China	Homo sapiens
MW748658.1	None	2018-XX-XX	China	Homo sapiens
MW748659.1	None	2018-XX-XX	China	Homo sapiens
MW748660.1	None	2018-XX-XX	China	Homo sapiens
MW748661.1	None	2018-XX-XX	China	Homo sapiens
MW748662.1	None	2015-XX-XX	China	Homo sapiens
MW748663.1	None	2015-XX-XX	China	Homo sapiens
MW748664.1	None	2014-XX-XX	China	Homo sapiens
MW748665.1	None	2015-XX-XX	China	Homo sapiens
MW748666.1	None	2016-XX-XX	China	Homo sapiens
MW748667.1	None	2016-XX-XX	China	Homo sapiens
MW748668.1	None	2015-XX-XX	China	Homo sapiens
MW748669.1	None	2015-XX-XX	China	Homo sapiens
MW748670.1	None	2015-XX-XX	China	Homo sapiens
MW748671.1	None	2015-XX-XX	China	Homo sapiens
MW748672.1	None	2015-XX-XX	China	Homo sapiens
MN638755.1	HAdV-B/USA/10476/2019/P7H7F7	2019-XX-XX	USA: New York	Homo sapiens
MN638756.1	HAdV-B/USA/10506/2019/P7H7F7	2019-XX-XX	USA: New York	Homo sapiens
MN638757.1	HAdV-B/USA/13751/2019/P7H7F7	2019-XX-XX	USA: New York	Homo sapiens
MG905099.1	HAdV-B/USA_CA/AD1927/2006/P14H14F14	2006-05-09	USA	Homo sapiens
MG905100.1	HAdV-B/Ireland/1782/2010/P14H14F14	2010-XX-XX	Ireland	Homo sapiens
MG905101.1	HAdV-B/Canada_New Brunswick/5058S/2011/P14H14F14	2011-XX-XX	Canada	Homo sapiens
MG905102.1	HAdV-B/USA_OH/NCH165/2012/P14H14F14	2012-01-26	USA	Homo sapiens
MG905103.1	HAdV-B/USA_CA/CG5671/2003/P14H14F14	2003-XX-XX	USA	Homo sapiens
MG905104.1	HAdV-B/USA_CA/MF1735/2006/P14H14F14	2006-XX-XX	USA	Homo sapiens
MG905105.1	HAdV-B/USA_CA/RL2128/2007/P14H14F14	2007-07-13	USA	Homo sapiens
MG905106.1	HAdV-B/USA_NY/1550/2008/P14H14F14	2008-08-18	USA	Homo sapiens
MG905107.1	HAdV-B/USA_OH/NCH131/2012/P14H14F14	2012-01-08	USA	Homo sapiens
MG905108.1	HAdV-B/USA_OH/NCH566/2012/P14H14F14	2012-10-29	USA	Homo sapiens
MG905109.1	HAdV-B/US_OR/2971/2007/P14H14F14	2007-02-09	USA	Homo sapiens
MG905110.1	HAdV-B/Spain/273/1969/P14H11F14	1969-XX-XX	Spain	Homo sapiens
MG905111.1	HAdV-B/Netherlands/DeWit/1957/P14H14F14	1957-XX-XX	Netherlands	Homo sapiens
MG905112.1	HAdV-B/Netherlands/16845/1974/P14H14F14	1974-XX-XX	Netherlands	Homo sapiens
MG642742.1	HAdV-B/USA/NHRC 74669/2012	2012-XX-XX	USA: South Carolina	Homo sapiens
MG642743.1	HAdV-B/USA/AK2314/2005	2005-XX-XX	USA: Alaska	Homo sapiens
MG642744.1	HAdV-B/USA/NHRC 92844/2010	2010-XX-XX	USA: New Jersey	Homo sapiens
MG642745.1	HAdV-B/USA/WPAFB 15/2009	2009-XX-XX	USA: Texas	Homo sapiens
MG642746.1	HAdV-B/SCT/02/2011	2011-XX-XX	United Kingdom: Scotland	Homo sapiens
MG642747.1	HAdV-B/USA/WPAFB 272/2011	2011-XX-XX	USA: California	Homo sapiens
MG642748.1	HAdV-B/USA/NHRC 92831/2010	2010-XX-XX	USA: New Jersey	Homo sapiens
MG642749.1	HAdV-B/USA/NHRC 92531/2010	2010-XX-XX	USA: New Jersey	Homo sapiens
MG642750.1	HAdV-B/HND/VCH 802/2008	2008-XX-XX	Honduras	Homo sapiens
MG642751.1	HAdV-B/USA/WPAFB 3/2009	2009-XX-XX	USA: Oklahoma	Homo sapiens
MG642752.1	HAdV-B/USA/WPAFB 53/2009	2009-XX-XX	USA: Alaska	Homo sapiens
MG642753.1	HAdV-B/USA/NHRC 25032/2010	2010-XX-XX	USA: South Dakota	Homo sapiens
MG642754.1	HAdV-B/USA/WPAFB 400/2012	2012-XX-XX	USA: Washington	Homo sapiens
MG642755.1	HAdV-B/USA/NHRC 67112/2011	2011-XX-XX	USA: Georgia	Homo sapiens
MG642756.1	HAdV-B/NPL/198/2007	2007-XX-XX	Nepal	Homo sapiens
MT325873.1	JX-adv117-2017	2017-05-04	China: Jiangxi	Homo sapiens
MW053454.1	None	2019-XX-XX	South Korea	Homo sapiens
MN936178.1	vaccine	2008-09-26	USA	None
MT806170.1	HB107/CHN/2019	2019-05-XX	China	Homo sapiens
MT806171.1	HB111/CHN/2019	2019-05-XX	China	Homo sapiens
MT806172.1	HB201/CHN/2019	2019-05-XX	China	Homo sapiens
MT806173.1	HB203/CHN/2019	2019-05-XX	China	Homo sapiens
MT806174.1	HB204/CHN/2019	2019-05-XX	China	Homo sapiens
MT806175.1	HB208/CHN/2019	2019-05-XX	China	Homo sapiens
LC530212.1	293	2018-XX-XX	Japan:Sendai	Homo sapiens
MN654375.1	None	2009-XX-XX	South Korea	Homo sapiens
MN654376.1	None	2009-XX-XX	South Korea	Homo sapiens
MN654377.1	None	2009-XX-XX	South Korea	Homo sapiens
MN654378.1	None	2009-XX-XX	South Korea	Homo sapiens
MN654379.1	None	2009-XX-XX	South Korea	Homo sapiens
MN654380.1	None	2000-XX-XX	Egypt	Homo sapiens
MN654381.1	None	2000-XX-XX	Egypt	Homo sapiens
MN654382.1	None	2002-XX-XX	Egypt	Homo sapiens
MN654383.1	None	2000-XX-XX	Egypt	Homo sapiens
MN654384.1	None	2008-XX-XX	Egypt	Homo sapiens
MN654385.1	None	2000-XX-XX	Egypt	Homo sapiens
MN654386.1	None	2007-XX-XX	Egypt	Homo sapiens
MN654387.1	None	2009-XX-XX	Egypt	Homo sapiens
MN654388.1	None	2005-XX-XX	Singapore	Homo sapiens
MN654389.1	None	2005-XX-XX	Singapore	Homo sapiens
MN654390.1	None	2005-XX-XX	Egypt	Homo sapiens
MN654391.1	None	2005-XX-XX	Egypt	Homo sapiens
MN654392.1	None	1997-XX-XX	USA	Homo sapiens
MN654393.1	None	2012-XX-XX	Japan	Homo sapiens
MN654394.1	None	1976-XX-XX	USA	Homo sapiens
MN654395.1	None	1969-XX-XX	Spain	Homo sapiens
MH669070.1	None	2006-05-14	USA	Homo sapiens
MH669071.1	None	2009-XX-XX	USA	Homo sapiens
MH669072.1	None	2009-XX-XX	None	Homo sapiens
MH669073.1	None	2020-07-31	None	Homo sapiens
MT513753.1	None	2006-XX-XX	USA	Homo sapiens
MN531562.1	HAdV 7/Haiti-0707/2014	2014-11-17	Haiti	Homo sapiens
MK886831.1	None	2015-08-31	China	Homo sapiens
MN307146.1	HAdV-B/USA_MD/9631/2018/P7H7F7	2018-10-29	USA: Maryland	Homo sapiens
MN307147.1	HAdV-B/USA_MD/9630/2018/P7H7F7	2018-11-15	USA: Maryland	Homo sapiens
MN307148.1	HAdV-B/USA_MD/6201/2018/P7H7F7	2018-11-30	USA: Maryland	Homo sapiens
MN307149.1	HAdV-B/USA_PA/9761/2018/P7H7F7	2018-10-06	USA: Pennsylvania	Homo sapiens
MN307150.1	HAdV-B/USA_PA/7575/2018/P7H7F7	2018-11-28	USA: Pennsylvania	Homo sapiens
MN307151.1	HAdV-B/USA_PA/7599/2018/P7H7F7	2018-12-14	USA: Pennsylvania	Homo sapiens
MN307152.1	HAdV-B/USA_PA/7605/2018/P7H7F7	2018-12-17	USA: Pennsylvania	Homo sapiens
MN307153.1	HAdV-B/USA_MI/6118/2019/P7H7F7	2019-03-13	USA: Michigan	Homo sapiens
MN307154.1	HAdV-B/USA_MI/8596/2019/P7H7F7	2019-04-03	USA: Michigan	Homo sapiens
MN307155.1	HAdV-B/USA_MI/7744/2019/P7H7F7	2019-03-22	USA: Michigan	Homo sapiens
MN307156.1	HAdV-B/USA_MI/0380/2019/P7H7F7	2019-05-07	USA: Michigan	Homo sapiens
MN307157.1	HAdV-B/USA_WI/6005/2018/P7H7F7	2018-11-19	USA: Wisconsin	Homo sapiens
MN307158.1	HAdV-B/USA_WI/6007/2018/P7H7F7	2018-11-27	USA: Wisconsin	Homo sapiens
MN307159.1	HAdV-B/USA_WI/6001/2018/P7H7F7	2018-12-01	USA: Wisconsin	Homo sapiens
MN307160.1	HAdV-B/USA_WI/6013/2018/P7H7F7	2018-12-03	USA: Wisconsin	Homo sapiens
MN307161.1	HAdV-B/USA_WI/5539/2018/P7H7F7	2018-12-06	USA: Wisconsin	Homo sapiens
MN307162.1	HAdV-B/USA_WI/5542/2018/P7H7F7	2018-12-07	USA: Wisconsin	Homo sapiens
MN307163.1	HAdV-B/USA_WI/5555/2018/P7H7F7	2018-12-17	USA: Wisconsin	Homo sapiens
MK492255.1	HAdV-B/NW-MM/Illinois/USA/2014/P7H7F7	2014-12-XX	USA	Homo sapiens
MK492256.1	HAdV-B/NW-VM/Illinois/USA/2014/P7H7F7	2014-12-XX	USA	Homo sapiens
MK492257.1	HAdV-B/NW-14993/Illinois/USA/2017/P7H7F7	2017-02-XX	USA	Homo sapiens
MN686206.1	None	2019-03-XX	China: Bengbu City	Homo sapiens
MN164629.1	None	2018-XX-XX	China	Homo sapiens
MN135993.1	163	2018-XX-XX	China	Homo sapiens
MH910662.1	HAdV-B/USA/S 1058/1955	1955-XX-XX	USA: Maryland	Homo sapiens
MH910663.1	HAdV-B/USA/750/1997	1997-XX-XX	USA: Illinois	Homo sapiens
MH910664.1	HAdV-B/USA/25-625/1997	1997-XX-XX	USA: Illinois	Homo sapiens
MH910665.1	HAdV-B/USA/8010/1998	1998-XX-XX	USA: Texas	Homo sapiens
MH910666.1	HAdV-B/USA/V9368/1996	1996-XX-XX	USA: Georgia	Homo sapiens
MH910667.1	HAdV-B/USA/R081586/1999	1999-XX-XX	USA: New York	Homo sapiens
MH910668.1	HAdV-B/USA/6866/1997	1997-XX-XX	USA: South Carolina	Homo sapiens
MN052861.1	None	2018-04-26	China	Homo sapiens
MF062484.1	None	2010-09-09	China	Homo sapiens
MK123978.1	267	2018-06-XX	China: Guangzhou	Homo sapiens
MK123979.1	None	2011-XX-XX	China	Homo sapiens
MK123980.1	TY12	2013-XX-XX	China	Homo sapiens
MK123981.1	TY26	2013-XX-XX	China	Homo sapiens
MH910669.1	HAdV-B/USA/55142/1960s	2019-03-02	USA	Homo sapiens
MH697600.1	HAdV-B/USA_VA/5675/2017/P7H7F7	2017-08-01	USA	Homo sapiens
MH697601.1	HAdV-B/USA_VA/5682/2017/P7H7F7	2017-08-03	USA	Homo sapiens
MH697602.1	HAdV-B/USA_VA/5799/2017/P7H7F7	2017-08-11	USA	Homo sapiens
MH697603.1	HAdV-B/USA_VA/1403/2017/P7H7F7	2017-07-25	USA	Homo sapiens
MH697604.1	HAdV-B/USA_VA/1404/2017/P7H7F7	2017-07-30	USA	Homo sapiens
MH697605.1	HAdV-B/USA_VA/5677/2017/P7H7F7	2017-08-02	USA	Homo sapiens
MH697606.1	HAdV-B/USA_VA/5801/2017/P7H7F7	2017-08-09	USA	Homo sapiens
MH697607.1	HAdV-B/USA_PA/5803/2017/P7H7F7	2017-08-10	USA	Homo sapiens
MH355567.1	BJ/CHN/2018	2018-01-01	China	Homo sapiens
