Accession	Virus	Strain	Author	Publication_Title	Journal	Database
Ontario_outbreak_19	Mumps	Ontario.CAN/09.17/1/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_12	Mumps	Ontario.CAN/12.17/1/G	Stapleton et al	Unpublished		Genbank
Fred_Hutch_seq_40	Mumps	Washington.USA/17.17/FH40/G	Moncla et al	Unpublished		Genbank
Ontario_outbreak_22	Mumps	Ontario.CAN/06.17/2/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_3	Mumps	Ontario.CAN/09.17/6/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_5	Mumps	Ontario.CAN/09.17/8/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_14	Mumps	Ontario.CAN/12.17/3/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_13	Mumps	Ontario.CAN/12.17/2/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_7	Mumps	Ontario.CAN/09.17/10/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_20	Mumps	Ontario.CAN/04.17/1/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_26	Mumps	Ontario.CAN/09.17/3/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_16	Mumps	Ontario.CAN/12.17/5/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_4	Mumps	Ontario.CAN/09.17/7/G	Stapleton et al	Unpublished		Genbank
MG986382	Mumps	Massachusetts.USA/52.16/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_96	Mumps	Washington.USA/11.17/FH96/G	Moncla et al	Unpublished		Genbank
Ontario_outbreak_9	Mumps	Ontario.CAN/06.17/4/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_6	Mumps	Ontario.CAN/09.17/9/G	Stapleton et al	Unpublished		Genbank
BCCDC61	Mumps	BritishColumbia.CAN/8.17/5/G	Gardy et al	Unpublished		Genbank
BCCDC62	Mumps	BritishColumbia.CAN/8.17/8/G	Gardy et al	Unpublished		Genbank
BCCDC98	Mumps	BritishColumbia.CAN/8.17/2/G	Gardy et al	Unpublished		Genbank
Ontario_outbreak_1	Mumps	Ontario.CAN/09.17/4/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_15	Mumps	Ontario.CAN/12.17/4/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_8	Mumps	Ontario.CAN/06.17/3/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_21	Mumps	Ontario.CAN/06.17/1/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_23	Mumps	Ontario.CAN/07.17/1/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_24	Mumps	Ontario.CAN/08.17/2/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_25	Mumps	Ontario.CAN/09.17/2/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_11	Mumps	Ontario.CAN/08.17/3/G	Stapleton et al	Unpublished		Genbank
Ontario_outbreak_18	Mumps	Ontario.CAN/13.17/2/G	Stapleton et al	Unpublished		Genbank
MG986420	Mumps	Montana.USA/11.16/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965299	Mumps	Massachusetts.USA/30.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965202	Mumps	Massachusetts.USA/27.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965308	Mumps	Massachusetts.USA/46.16/7/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965273	Mumps	Massachusetts.USA/45.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965283	Mumps	Massachusetts.USA/43.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965232	Mumps	Massachusetts.USA/44.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965306	Mumps	Massachusetts.USA/39.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965282	Mumps	Massachusetts.USA/46.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965204	Mumps	Massachusetts.USA/46.16/6/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965301	Mumps	Massachusetts.USA/42.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965201	Mumps	Massachusetts.USA/45.16/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965221	Mumps	Massachusetts.USA/45.16/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965285	Mumps	Massachusetts.USA/45.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965198	Mumps	Massachusetts.USA/50.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965236	Mumps	Massachusetts.USA/43.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965298	Mumps	Massachusetts.USA/10.16/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965305	Mumps	Massachusetts.USA/14.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965218	Mumps	Massachusetts.USA/10.16/13/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965200	Mumps	Massachusetts.USA/16.16/13/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965224	Mumps	Massachusetts.USA/17.16/8/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965264	Mumps	Massachusetts.USA/10.16/7/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965310	Mumps	Massachusetts.USA/10.16/8/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965277	Mumps	Massachusetts.USA/11.16/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965254	Mumps	Massachusetts.USA/8.16/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965225	Mumps	Massachusetts.USA/10.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965241	Mumps	Massachusetts.USA/16.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965293	Mumps	Massachusetts.USA/12.16/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965313	Mumps	Massachusetts.USA/17.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965276	Mumps	Massachusetts.USA/17.16/10/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965211	Mumps	Massachusetts.USA/17.16/11/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965235	Mumps	Massachusetts.USA/8.16/6/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965268	Mumps	Massachusetts.USA/8.16/5/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965227	Mumps	Massachusetts.USA/9.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965266	Mumps	Massachusetts.USA/10.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965291	Mumps	Massachusetts.USA/11.16/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965256	Mumps	Massachusetts.USA/12.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965275	Mumps	Massachusetts.USA/11.16/5/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965239	Mumps	Massachusetts.USA/14.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965244	Mumps	Massachusetts.USA/10.16/12/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965318	Mumps	Massachusetts.USA/10.16/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965280	Mumps	Massachusetts.USA/17.16/7/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965214	Mumps	Massachusetts.USA/15.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965240	Mumps	Massachusetts.USA/8.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965234	Mumps	Massachusetts.USA/8.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965272	Mumps	Massachusetts.USA/17.16/12/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965228	Mumps	Massachusetts.USA/15.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965197	Mumps	Massachusetts.USA/9.16/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965270	Mumps	Massachusetts.USA/10.16/9/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965274	Mumps	Massachusetts.USA/13.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965242	Mumps	Massachusetts.USA/16.16/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965278	Mumps	Massachusetts.USA/12.16/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965251	Mumps	Massachusetts.USA/16.16/9/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965237	Mumps	Massachusetts.USA/22.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965261	Mumps	Massachusetts.USA/19.16/10/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965259	Mumps	Massachusetts.USA/16.16/7/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965289	Mumps	Massachusetts.USA/17.16/9/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965250	Mumps	Massachusetts.USA/16.16/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965233	Mumps	Massachusetts.USA/16.16/15/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965263	Mumps	Massachusetts.USA/16.16/17/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965288	Mumps	Massachusetts.USA/16.16/18/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965265	Mumps	Massachusetts.USA/18.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965311	Mumps	Massachusetts.USA/20.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965199	Mumps	Massachusetts.USA/19.16/5/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965249	Mumps	Massachusetts.USA/18.16/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965303	Mumps	Massachusetts.USA/19.16/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965203	Mumps	Massachusetts.USA/19.16/7/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965226	Mumps	Massachusetts.USA/22.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965206	Mumps	Massachusetts.USA/16.16/16/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965246	Mumps	Massachusetts.USA/17.16/13/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965269	Mumps	Massachusetts.USA/16.16/19/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965255	Mumps	Massachusetts.USA/16.16/10/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965243	Mumps	Massachusetts.USA/16.16/14/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965238	Mumps	Massachusetts.USA/18.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965252	Mumps	Massachusetts.USA/19.16/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965245	Mumps	Massachusetts.USA/16.16/8/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965279	Mumps	Massachusetts.USA/16.16/6/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965209	Mumps	Massachusetts.USA/16.16/5/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965257	Mumps	Massachusetts.USA/16.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965247	Mumps	Massachusetts.USA/17.16/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965316	Mumps	Massachusetts.USA/17.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965296	Mumps	Massachusetts.USA/17.16/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965196	Mumps	Massachusetts.USA/17.16/6/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965230	Mumps	Massachusetts.USA/19.16/9/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965317	Mumps	Massachusetts.USA/19.16/8/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965210	Mumps	Massachusetts.USA/18.16/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965304	Mumps	Massachusetts.USA/19.16/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965309	Mumps	Massachusetts.USA/19.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986467	Mumps	Massachusetts.USA/22.17/6/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986408	Mumps	Massachusetts.USA/26.17/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986402	Mumps	Massachusetts.USA/22.17/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986413	Mumps	Georgia.USA/13.17/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986427	Mumps	Massachusetts.USA/22.17/5/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986464	Mumps	Massachusetts.USA/24.17/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986400	Mumps	Massachusetts.USA/22.17/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986447	Mumps	Massachusetts.USA/25.17/7/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986392	Mumps	Massachusetts.USA/22.17/8/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986445	Mumps	Massachusetts.USA/21.17/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986399	Mumps	Massachusetts.USA/22.17/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986428	Mumps	Massachusetts.USA/24.17/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986386	Mumps	Massachusetts.USA/19.17/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986416	Mumps	Massachusetts.USA/19.17/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986448	Mumps	Massachusetts.USA/24.17/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986459	Mumps	Massachusetts.USA/19.17/3/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986443	Mumps	Massachusetts.USA/24.17/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986441	Mumps	Massachusetts.USA/25.17/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986461	Mumps	Massachusetts.USA/22.17/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986437	Mumps	Massachusetts.USA/21.17/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
