Accession	Virus	Strain	Segment	Originating_lab	Submitting_lab	Database
EPI314864	yam	B/England/296/1996	ha		Other Database Import	GISAID
EPI1938783	yam	B/Wellington/9/1995	ha	Institute Of Environmental Science And Research (esr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI517898	yam	B/NewYork/1012/1995	ha		Other Database Import	GISAID
EPI517882	yam	B/NewYork/1010/1995	ha		Other Database Import	GISAID
EPI374207	yam	B/Malaysia/6535/1995	ha		Other Database Import	GISAID
EPI517914	yam	B/NewYork/1014/1996	ha		Other Database Import	GISAID
EPI517922	yam	B/NewYork/1015/1996	ha		Other Database Import	GISAID
EPI517930	yam	B/NewYork/1016/1996	ha		Other Database Import	GISAID
EPI4483	yam	B/Thailand/154/1995	ha		Other Database Import	GISAID
EPI4471	yam	B/Brazil/241/1996	ha		Other Database Import	GISAID
EPI347352	yam	B/Morocco/61/1997	ha	Institut National D'hygi&egrave;ne	National Institute For Medical Research	GISAID
EPI347350	yam	B/Dakar/2/1997	ha	Institut Pasteur De Dakar	National Institute For Medical Research	GISAID
EPI51345	yam	B/Singapore/31/1998	ha		Other Database Import	GISAID
EPI214	yam	B/Kochi/193/1999	ha		Other Database Import	GISAID
EPI116903	yam	B/Singapore/27/1998	ha		Other Database Import	GISAID
EPI17818	yam	B/Durban/56/1998	ha		Other Database Import	GISAID
EPI314870	yam	B/England/239/1997	ha		Other Database Import	GISAID
EPI4487	yam	B/Wellington/1/1996	ha		Other Database Import	GISAID
EPI314866	yam	B/England/362/1996	ha		Other Database Import	GISAID
EPI374239	yam	B/Malaysia/11087/1996	ha		Other Database Import	GISAID
EPI374223	yam	B/Malaysia/10928/1996	ha		Other Database Import	GISAID
EPI50852	yam	B/Alaska/12/1996	ha		Other Database Import	GISAID
EPI374255	yam	B/Malaysia/11185/1996	ha		Other Database Import	GISAID
EPI374215	yam	B/Malaysia/10837/1996	ha		Other Database Import	GISAID
EPI374295	yam	B/Malaysia/11721/1997	ha		Other Database Import	GISAID
EPI314875	yam	B/England/659/1997	ha		Other Database Import	GISAID
EPI314869	yam	B/Scotland/18/1997	ha		Other Database Import	GISAID
EPI314872	yam	B/England/237/1997	ha		Other Database Import	GISAID
EPI314873	yam	B/England/633/1997	ha		Other Database Import	GISAID
EPI55916	yam	B/Singapore/35/1998	ha		Other Database Import	GISAID
EPI1885215	yam	B/Auckland/2/1998	ha	Auckland Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1919482	yam	B/Perth/1/2000	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1919490	yam	B/Singapore/9/1999	ha	Singapore General Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI374319	yam	B/Malaysia/13494/1997	ha		Other Database Import	GISAID
EPI158342	yam	B/Bangkok/228/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI1923364	yam	B/Singapore/25/2000	ha	Singapore General Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1919489	yam	B/Singapore/6/1999	ha	Singapore General Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI374311	yam	B/Malaysia/13396/1997	ha		Other Database Import	GISAID
EPI374263	yam	B/Malaysia/13367/1997	ha		Other Database Import	GISAID
EPI374303	yam	B/Malaysia/13395/1997	ha		Other Database Import	GISAID
EPI374279	yam	B/Malaysia/13696/1997	ha		Other Database Import	GISAID
EPI157140	yam	B/Oman/16304/2001	ha		Centers For Disease Control And Prevention	GISAID
EPI1886370	yam	B/Philippines/2/1999	ha	Research Institute Of Tropical Medicine	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI374247	yam	B/Malaysia/11169/1996	ha		Other Database Import	GISAID
EPI1919470	yam	B/Bangkok/11/2000	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI116925	yam	B/Bangkok/166/1999	ha		Other Database Import	GISAID
EPI116941	yam	B/Bangkok/269/1999	ha		Other Database Import	GISAID
EPI1886354	yam	B/Bangkok/164/1999	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI157009	yam	B/HongKong/22/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI157214	yam	B/Taiwan/403/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI1919497	yam	B/Sydney/200/2000	ha	Prince Of Wales Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI127594	yam	B/Lisbon/3/1996	ha	Instituto Nacional De Saude	Other Database Import	GISAID
EPI51042	yam	B/Brazil/975/2000	ha		Other Database Import	GISAID
EPI158332	yam	B/Argentina/113/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI11264	yam	B/BuenosAires/VL518/1999	ha		Other Database Import	GISAID
EPI55807	yam	B/Houston/B58/1997	ha		Other Database Import	GISAID
EPI50097	yam	B/Houston/B63/1997	ha		Other Database Import	GISAID
EPI314876	yam	B/England/688/1997	ha		Other Database Import	GISAID
EPI347351	yam	B/Dakar/17/1997	ha	Institut Pasteur De Dakar	National Institute For Medical Research	GISAID
EPI347349	yam	B/Fatick/27/1997	ha	Institut Pasteur De Dakar	National Institute For Medical Research	GISAID
EPI18415	yam	B/Memphis/12/1997	ha		Other Database Import	GISAID
EPI11256	yam	B/BuenosAires/SW16/1997	ha		Other Database Import	GISAID
EPI116959	yam	B/Canberra/5/1997	ha		Other Database Import	GISAID
EPI50131	yam	B/Temple/B3/1999	ha		Other Database Import	GISAID
EPI1919428	yam	A/Taiwan/6/1999	ha	Centers For Disease Control	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI517946	yam	B/NewYork/1018/1997	ha		Other Database Import	GISAID
EPI116551	yam	B/Yamanashi/166/1998	ha		Other Database Import	GISAID
EPI50059	yam	B/Houston/B56/1997	ha		Other Database Import	GISAID
EPI517954	yam	B/NewYork/1019/1999	ha		Other Database Import	GISAID
EPI50169	yam	B/Temple/B8/1999	ha		Other Database Import	GISAID
EPI49998	yam	B/Houston/B65/1998	ha		Other Database Import	GISAID
EPI50947	yam	B/Florida/2/1998	ha		Other Database Import	GISAID
EPI50188	yam	B/Temple/B9/1999	ha		Other Database Import	GISAID
EPI347340	yam	B/Mauritius/281/2001	ha	Central Health Laboratory	National Institute For Medical Research	GISAID
EPI119265	yam	B/Oslo/668/2002	ha		Other Database Import	GISAID
EPI481816	yam	B/Sydney/200/2002	ha		Other Database Import	GISAID
EPI481832	yam	B/Sydney/3/2002	ha		Other Database Import	GISAID
EPI314889	yam	B/England/197/2000	ha		Other Database Import	GISAID
EPI1923356	yam	B/NewCaledonia/1/2001	ha	Institut Pasteur New Caledonia	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1919518	yam	B/Victoria/537/2000	ha	Monash Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI157027	yam	B/HongKong/533/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI157025	yam	B/HongKong/513/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI1938021	yam	B/NewCaledonia/1/2000	ha	Institut Pasteur New Caledonia	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI374231	yam	B/Malaysia/10941/1996	ha		Other Database Import	GISAID
EPI1886372	yam	B/Singapore/28/1998	ha	Singapore General Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI437	yam	B/Kadoma/122/1999	ha		Other Database Import	GISAID
EPI314878	yam	B/England/615/1998	ha		Other Database Import	GISAID
EPI314884	yam	B/England/889/1999	ha		Other Database Import	GISAID
EPI238679	yam	B/Vienna/1/1999	ha		Other Database Import	GISAID
EPI517978	yam	B/NewYork/1022/2000	ha		Other Database Import	GISAID
EPI518146	yam	B/NewYork/1044/2001	ha		Other Database Import	GISAID
EPI116911	yam	B/Auckland/2/1999	ha		Other Database Import	GISAID
EPI173824	yam	B/NewYork/347/1999	ha		Other Database Import	GISAID
EPI15254	yam	B/UnitedKingdom/34304/1999	ha		Other Database Import	GISAID
EPI314879	yam	B/England/671/1998	ha		Other Database Import	GISAID
EPI314882	yam	B/England/98/1999	ha		Other Database Import	GISAID
EPI43478	yam	B/Arizona/7/2000	ha		Other Database Import	GISAID
EPI43462	yam	B/California/1/2000	ha		Other Database Import	GISAID
EPI43466	yam	B/California/3/2000	ha		Other Database Import	GISAID
EPI314874	yam	B/England/656/1997	ha		Other Database Import	GISAID
EPI1886401	yam	B/Victoria/103/1999	ha	Victorian Infectious Diseases Reference Laboratory 	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI116951	yam	B/Sichuan/379/1999	ha		Other Database Import	GISAID
EPI156935	yam	B/Egypt/469/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI156867	yam	B/Brazil/16/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI374271	yam	B/Malaysia/13693/1997	ha		Other Database Import	GISAID
EPI43480	yam	B/Washington/2/2000	ha		Other Database Import	GISAID
EPI159986	yam	B/Taiwan/45/2001	ha		Other Database Import	GISAID
EPI160002	yam	B/Taiwan/634/2001	ha		Other Database Import	GISAID
EPI6661	yam	B/Netherlands/429/1998	ha		Other Database Import	GISAID
EPI1886356	yam	B/Bangkok/188/1999	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1886357	yam	B/Bangkok/223/1999	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1886358	yam	B/Bangkok/228/1999	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1919486	yam	B/Philippines/311/1999	ha	Research Institute Of Tropical Medicine	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI116917	yam	B/Townsville/1/1999	ha		Other Database Import	GISAID
EPI238674	yam	B/Brisbane/4/1999	ha		Other Database Import	GISAID
EPI1919381	yam	A/Perth/266/1999	ha	Princess Margaret Hospital For Children	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI314880	yam	B/Scotland/24/1999	ha		Other Database Import	GISAID
EPI1919516	yam	B/Victoria/527/2000	ha	Monash Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI604235	yam	B/Chile/5068/2001	ha		Other Database Import	GISAID
EPI11067	yam	B/Alaska/16/2000	ha		Other Database Import	GISAID
EPI43546	yam	B/Maryland/2/2001	ha		Other Database Import	GISAID
EPI51137	yam	B/Texas/6/2000	ha		Other Database Import	GISAID
EPI15316	yam	B/Texas/1/2000	ha		Other Database Import	GISAID
EPI43476	yam	B/Georgia/1/2000	ha		Other Database Import	GISAID
EPI157021	yam	B/HongKong/4/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI1919484	yam	B/Perth/2/2000	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI238304	yam	B/Guangdong/120/2000	ha	Centers For Disease Control And Prevention	Other Database Import	GISAID
EPI12816	yam	B/Oslo/3761/2000	ha		Other Database Import	GISAID
EPI605311	yam	B/Bucharest/626/2001	ha		Other Database Import	GISAID
EPI156938	yam	B/Egypt/907137/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI1923352	yam	B/Indonesia/8648/2001	ha	U.s. Namru 2   Indonesia	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI13591	yam	B/HongKong/692/2001	ha		Other Database Import	GISAID
EPI605447	yam	B/HongKong/1470/2002	ha		Other Database Import	GISAID
EPI1923337	yam	B/Bangkok/133/2001	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1923368	yam	B/SouthAustralia/2/2001	ha	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI518050	yam	B/NewYork/1031/2001	ha		Other Database Import	GISAID
EPI518154	yam	B/NewYork/1046/2001	ha		Other Database Import	GISAID
EPI157194	yam	B/Singapore/67204/2001	ha		Centers For Disease Control And Prevention	GISAID
EPI1923341	yam	B/Bangkok/551/2001	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI157233	yam	B/Thailand/80835/2001	ha		Centers For Disease Control And Prevention	GISAID
EPI314888	yam	B/England/12/2000	ha		Other Database Import	GISAID
EPI314892	yam	B/England/89/2001	ha		Other Database Import	GISAID
EPI157129	yam	B/Moscow/2/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI157066	yam	B/India/65504/2001	ha		Centers For Disease Control And Prevention	GISAID
EPI50283	yam	B/Houston/B68/2000	ha		Other Database Import	GISAID
EPI50245	yam	B/Houston/B66/2000	ha		Other Database Import	GISAID
EPI50264	yam	B/Houston/B67/2000	ha		Other Database Import	GISAID
EPI337985	yam	B/SouthCarolina/NHRC0001/2000	ha		Other Database Import	GISAID
EPI347330	yam	B/Dakar/33/1999	ha	Institut Pasteur De Dakar	National Institute For Medical Research	GISAID
EPI347329	yam	B/Dakar/116/1999	ha	Institut Pasteur De Dakar	National Institute For Medical Research	GISAID
EPI43544	yam	B/Hawaii/17/2001	ha		Other Database Import	GISAID
EPI157127	yam	B/Moscow/9/2001	ha		Centers For Disease Control And Prevention	GISAID
EPI1919474	yam	B/Christchurch/2/2000	ha	Canterbury Health Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI604498	yam	B/Shenzhen/877/2000	ha		Other Database Import	GISAID
EPI605197	yam	B/Bucharest/746/2001	ha		Other Database Import	GISAID
EPI1923359	yam	B/Perth/203/2001	ha	Princess Margaret Hospital For Children	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1923383	yam	B/Victoria/541/2000	ha	Monash Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI43964	yam	B/NewYork/40/2002	ha		Other Database Import	GISAID
EPI518201	yam	B/NewYork/1052/2002	ha		Other Database Import	GISAID
EPI156920	yam	B/Colombia/3438/2002	ha		Centers For Disease Control And Prevention	GISAID
EPI1938109	yam	B/Victoria/504/2001	ha	Monash Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1923137	yam	B/Brisbane/1/2001	ha	Queensland Health Forensic And Scientific Services 	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1919517	yam	B/Victoria/529/2000	ha	Monash Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1938096	yam	B/Brazil/5/2002	ha	Who Collaborating Centre For Reference And Research On Influenza	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1923358	yam	B/Perth/202/2001	ha	Princess Margaret Hospital For Children	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1919472	yam	B/Christchurch/1/2000	ha	Canterbury Health Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI156874	yam	B/Brazil/823/2001	ha		Centers For Disease Control And Prevention	GISAID
EPI1919495	yam	B/SouthAustralia/71/2000	ha	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1923140	yam	B/Christchurch/141/2001	ha	Canterbury Health Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI518170	yam	B/NewYork/1048/2002	ha		Other Database Import	GISAID
EPI43548	yam	B/Texas/22/2001	ha		Other Database Import	GISAID
EPI43542	yam	B/Arizona/14/2001	ha		Other Database Import	GISAID
EPI43482	yam	B/California/6/2000	ha		Other Database Import	GISAID
EPI314893	yam	B/England/357/2001	ha		Other Database Import	GISAID
EPI314890	yam	B/England/224/2000	ha		Other Database Import	GISAID
EPI50358	yam	B/Houston/B69/2002	ha		Other Database Import	GISAID
EPI43540	yam	B/Massachusetts/4/2001	ha		Other Database Import	GISAID
EPI43556	yam	B/Texas/5/2002	ha		Other Database Import	GISAID
EPI4591	yam	B/Taiwan/1197/1994	ha		Other Database Import	GISAID
EPI56391	yam	B/California/2/1994	ha		Other Database Import	GISAID
EPI4367	yam	B/Harbin/7/1994	ha		Other Database Import	GISAID
EPI314863	yam	B/England/705/1995	ha		Other Database Import	GISAID
EPI56429	yam	B/Singapore/11/1994	ha		Other Database Import	GISAID
EPI314859	yam	B/England/151/1995	ha		Other Database Import	GISAID
EPI314858	yam	B/England/115/1995	ha		Other Database Import	GISAID
EPI314861	yam	B/England/3/1995	ha		Other Database Import	GISAID
EPI314857	yam	B/England/17/1995	ha		Other Database Import	GISAID
EPI517834	yam	B/NewYork/1004/1995	ha		Other Database Import	GISAID
EPI11254	yam	B/BuenosAires/9/1995	ha		Other Database Import	GISAID
EPI4575	yam	B/India/156/1994	ha		Other Database Import	GISAID
EPI517866	yam	B/NewYork/1008/1995	ha		Other Database Import	GISAID
EPI51991	yam	B/Wellington/1/1994	ha		Other Database Import	GISAID
EPI20734	yam	B/Nanchang/20/1996	ha		Other Database Import	GISAID
EPI4371	yam	B/Tokyo/942/1996	ha		Other Database Import	GISAID
EPI24801	yam	B/Beijing/76/1998	ha		Other Database Import	GISAID
EPI156908	yam	B/China/W4/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI1919485	yam	B/Philippines/289/2000	ha	Research Institute Of Tropical Medicine	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1923362	yam	B/Singapore/1/2001	ha	Singapore General Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI157031	yam	B/HongKong/538/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI157203	yam	B/Taiwan/1447/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI604289	yam	B/Shenzhen/306/2000	ha		Other Database Import	GISAID
EPI157035	yam	B/HongKong/558/2000	ha		Centers For Disease Control And Prevention	GISAID
EPI157179	yam	B/Shenzhen/747/2001	ha		Centers For Disease Control And Prevention	GISAID
EPI15310	yam	B/Sichuan/317/2001	ha		Other Database Import	GISAID
EPI605350	yam	B/Sichuan/624/2001	ha		Other Database Import	GISAID
EPI605218	yam	B/Wuhan/359/2000	ha		Other Database Import	GISAID
EPI604882	yam	B/Sichuan/776/2001	ha		Other Database Import	GISAID
EPI347338	yam	B/Madagascar/65186/2002	ha	Institut Pasteur De Madagascar	National Institute For Medical Research	GISAID
EPI15318	yam	B/Wuhan/356/2000	ha		Other Database Import	GISAID
EPI11121	yam	B/HongKong/557/2000	ha		Other Database Import	GISAID
EPI1923366	yam	B/Singapore/3/2001	ha	Singapore General Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI604751	yam	B/Guangzhou/757/2000	ha		Other Database Import	GISAID
EPI15336	yam	B/Taiwan/97271/2001	ha		Other Database Import	GISAID
EPI481824	yam	B/Sydney/201/2002	ha		Other Database Import	GISAID
EPI1926958	yam	B/Bangkok/293/2002	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI157230	yam	B/Thailand/5980/2001	ha		Centers For Disease Control And Prevention	GISAID
EPI157023	yam	B/HongKong/476/2001	ha		Centers For Disease Control And Prevention	GISAID
EPI13603	yam	B/Shanghai/361/2002	ha	Centers For Disease Control And Prevention	Other Database Import	GISAID
EPI165756	yam	B/Ningbo/14/2003	ha		Other Database Import	GISAID
EPI157036	yam	B/HongKong/5672/2003	ha		Centers For Disease Control And Prevention	GISAID
EPI1923342	yam	B/Bangkok/59/2001	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI17846	yam	B/Johannesburg/123/2001	ha		Other Database Import	GISAID
EPI56049	yam	B/Argentina/132/2001	ha		Other Database Import	GISAID
EPI11065	yam	B/Argentina/69/2001	ha		Other Database Import	GISAID
EPI158336	yam	B/Argentina/3731/2001	ha		Centers For Disease Control And Prevention	GISAID
EPI13601	yam	B/UlanUde/4/2002	ha		Other Database Import	GISAID
EPI1927006	yam	B/SouthAustralia/6/2002	ha	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI481848	yam	B/Victoria/108/2002	ha		Other Database Import	GISAID
EPI374680	yam	B/Malaysia/24157/2003	ha		Other Database Import	GISAID
EPI374335	yam	B/Malaysia/24651/2003	ha		Other Database Import	GISAID
EPI374327	yam	B/Malaysia/24296/2003	ha		Other Database Import	GISAID
EPI43570	yam	B/Nevada/1/2002	ha		Other Database Import	GISAID
EPI156870	yam	B/Brazil/2459/2002	ha		Centers For Disease Control And Prevention	GISAID
EPI43576	yam	B/Ohio/2/2002	ha		Other Database Import	GISAID
EPI43552	yam	B/Hawaii/44/2001	ha		Other Database Import	GISAID
EPI1923374	yam	B/Tak/549/2001	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1923386	yam	B/Waikato/33/2001	ha	Institute Of Environmental Science And Research (esr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI481860	yam	B/Victoria/142/2002	ha		Other Database Import	GISAID
EPI481868	yam	B/Victoria/353/2002	ha		Other Database Import	GISAID
EPI156960	yam	B/Gangwon/192/2002	ha		Centers For Disease Control And Prevention	GISAID
EPI43550	yam	B/Hawaii/43/2001	ha		Other Database Import	GISAID
EPI1926985	yam	B/Darwin/1/2002	ha	Royal Darwin Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI481840	yam	B/Victoria/341/2002	ha	Royal Chidrens Hospital	Other Database Import	GISAID
EPI160010	yam	B/Taiwan/72068/2004	ha		Other Database Import	GISAID
EPI157011	yam	B/HongKong/309/2003	ha		Centers For Disease Control And Prevention	GISAID
EPI1447737	yam	B/Jiangsu/10/2003	ha	Centers For Disease Control And Prevention	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI604886	yam	B/Jiangsu/10E9/2003	ha		Other Database Import	GISAID
EPI157211	yam	B/Taiwan/1556/2004	ha		Centers For Disease Control And Prevention	GISAID
EPI165755	yam	B/Ningbo/50/2003	ha		Other Database Import	GISAID
EPI1989510	yam	B/Sukhothai/3557/2004	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1447661	yam	B/Bangkok/440/2003	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1937864	yam	A/Bangkok/399/2003	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI605082	yam	B/Romania/774/2005	ha		Other Database Import	GISAID
EPI157157	yam	B/Petropavlovsk-Kamchatski/15/2005	ha		Centers For Disease Control And Prevention	GISAID
EPI155683	yam	B/Soligorsk/140/2007	ha		Centers For Disease Control And Prevention	GISAID
EPI603928	yam	B/Bangladesh/2414/2005	ha		Other Database Import	GISAID
EPI157205	yam	B/Taiwan/1534/2003	ha		Centers For Disease Control And Prevention	GISAID
EPI482047	yam	B/Brisbane/4/2004	ha		Other Database Import	GISAID
EPI157208	yam	B/Taiwan/1547/2004	ha		Centers For Disease Control And Prevention	GISAID
EPI62257	yam	B/Chanthaburi/218/2003	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Other Database Import	GISAID
EPI314938	yam	B/England/794/2003	ha		Other Database Import	GISAID
EPI43622	yam	B/Washington/3/2003	ha		Other Database Import	GISAID
EPI157188	yam	B/Singapore/1160553/2003	ha		Centers For Disease Control And Prevention	GISAID
EPI157244	yam	B/Tianjin/170/2004	ha		Centers For Disease Control And Prevention	GISAID
EPI157223	yam	B/Thailand/115/2005	ha		Centers For Disease Control And Prevention	GISAID
EPI157039	yam	B/HongKong/64/2004	ha		Centers For Disease Control And Prevention	GISAID
EPI161556	yam	B/Jiangxi/216/2004	ha		Other Database Import	GISAID
EPI605142	yam	B/Fujian/437/2004	ha		Other Database Import	GISAID
EPI157266	yam	B/Wuhan/281/2004	ha		Centers For Disease Control And Prevention	GISAID
EPI165758	yam	B/Ningbo/1199/2004	ha		Other Database Import	GISAID
EPI605493	yam	B/Fujian/430/2004	ha		Other Database Import	GISAID
EPI481896	yam	B/Christchurch/241/2004	ha		Other Database Import	GISAID
