Accession	Segment	Strain	Virus	Author	Publication_Title	Journal	Database
JX080410	HEF	Influenza C virus (C/Alberta/3087/2011)	influenzaC	Pabbaraju,K., Wong,S., Wong,A., May-Hadford,J., Tellier,R. and Fonseca,K.	Detection of influenza c virus by a real-time RT-PCR assay	Unpublished	NCBI Virus, Genbank
LC122649	HEF	Influenza C virus (C/Yamagata/2/2005)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122651	HEF	Influenza C virus (C/Miyagi/2/2005)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122652	HEF	Influenza C virus (C/Miyagi/4/2005)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122655	HEF	Influenza C virus (C/Yamagata/1/2006)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122657	HEF	Influenza C virus (C/Yamagata/13/2006)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122654	HEF	Influenza C virus (C/Fukuoka/2/2006)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
GQ853453	HEF	Influenza C virus (C/Singapore/DSO-070170/2006)	influenzaC	Ting,P., Seah,S.L.K., Lim,E.A.S., Liaw,J.C.W. and Tan,B.H.	Genetic Characterization of Influenza C Virus Detected in Singapore	Unpublished	NCBI Virus, Genbank
GQ853454	HEF	Influenza C virus (C/Singapore/DSO-070193/2006)	influenzaC	Ting,P., Seah,S.L.K., Lim,E.A.S., Liaw,J.C.W. and Tan,B.H.	Genetic Characterization of Influenza C Virus Detected in Singapore	Unpublished	NCBI Virus, Genbank
KT835350	HEF	Influenza C virus (C/Scotland/5500/2007)	influenzaC	Smith,D.B., Gaunt,E.R., Digard,P., Templeton,K. and Simmonds,P.	Detection of influenza C virus but not influenza D virus in Scottish respiratory samples	J. Clin. Virol. 74, 50-53 (2016)	NCBI Virus, Genbank
KT835353	HEF	Influenza C virus (C/Scotland/7383/2007)	influenzaC	Smith,D.B., Gaunt,E.R., Digard,P., Templeton,K. and Simmonds,P.	Detection of influenza C virus but not influenza D virus in Scottish respiratory samples	J. Clin. Virol. 74, 50-53 (2016)	NCBI Virus, Genbank
GQ853455	HEF	Influenza C virus (C/Singapore/DSO-050530/2006)	influenzaC	Ting,P., Seah,S.L.K., Lim,E.A.S., Liaw,J.C.W. and Tan,B.H.	Genetic Characterization of Influenza C Virus Detected in Singapore	Unpublished	NCBI Virus, Genbank
GQ853452	HEF	Influenza C virus (C/Singapore/DSO-070203/2006)	influenzaC	Ting,P., Seah,S.L.K., Lim,E.A.S., Liaw,J.C.W. and Tan,B.H.	Genetic Characterization of Influenza C Virus Detected in Singapore	Unpublished	NCBI Virus, Genbank
HM748623	HEF	Influenza C virus (C/Catalonia/1824/2009)	influenzaC	Anton,A., Marcos,M.A., Codoner,F.M., de Molina,P., Martinez,A., Cardenosa,N., Godoy,P., Torner,N., Martinez,M.J., Ramon,S., Tudo,G., Isanta,R., Gonzalo,V., Jimenez de Anta,M.T. and Pumarola,T.	Influenza C virus surveillance during the first influenza A (H1N1) 2009 pandemic wave in Catalonia, Spain	Diagn. Microbiol. Infect. Dis. 69 (4), 419-427 (2011)	NCBI Virus, Genbank
HM748625	HEF	Influenza C virus (C/Catalonia/1945/2009)	influenzaC	Anton,A., Marcos,M.A., Codoner,F.M., de Molina,P., Martinez,A., Cardenosa,N., Godoy,P., Torner,N., Martinez,M.J., Ramon,S., Tudo,G., Isanta,R., Gonzalo,V., Jimenez de Anta,M.T. and Pumarola,T.	Influenza C virus surveillance during the first influenza A (H1N1) 2009 pandemic wave in Catalonia, Spain	Diagn. Microbiol. Infect. Dis. 69 (4), 419-427 (2011)	NCBI Virus, Genbank
JX129180	HEF	Influenza C virus (C/Milan/128/2009)	influenzaC	Principi,N., Scala,A., Daleno,C. and Esposito,S.	Influenza C virus-associated community-acquired pneumonia in children	Influenza Other Respir Viruses 7 (6), 999-1003 (2013)	NCBI Virus, Genbank
JX129181	HEF	Influenza C virus (C/Milan/550/2008)	influenzaC	Principi,N., Scala,A., Daleno,C. and Esposito,S.	Influenza C virus-associated community-acquired pneumonia in children	Influenza Other Respir Viruses 7 (6), 999-1003 (2013)	NCBI Virus, Genbank
KM507555	HEF	Influenza C virus (C/India/P135047/2013)	influenzaC	Potdar,V.A., Dakhave,M.R. and Manchanda,A.	Retrospective Detection and Characterization of Influenza C virus from Western India	Unpublished	NCBI Virus, Genbank
D63467	HEF	Influenza C virus (C/Yamagata/64)	influenzaC	Muraki,Y., Hongo,S., Sugawara,K., Kitame,F. and Nakamura,K.	Evolution of the haemagglutinin-esterase gene of influenza C virus	J. Gen. Virol. 77 (PT 4), 673-679 (1996)	NCBI Virus, Genbank
D63469	HEF	Influenza C virus (C/Aomori/74)	influenzaC	Muraki,Y., Hongo,S., Sugawara,K., Kitame,F. and Nakamura,K.	Evolution of the haemagglutinin-esterase gene of influenza C virus	J. Gen. Virol. 77 (PT 4), 673-679 (1996)	NCBI Virus, Genbank
D63470	HEF	Influenza C virus (C/Kanagawa/1/76)	influenzaC	Muraki,Y., Hongo,S., Sugawara,K., Kitame,F. and Nakamura,K.	Evolution of the haemagglutinin-esterase gene of influenza C virus	J. Gen. Virol. 77 (PT 4), 673-679 (1996)	NCBI Virus, Genbank
D63471	HEF	Influenza C virus (C/Miyagi/77)	influenzaC	Muraki,Y., Hongo,S., Sugawara,K., Kitame,F. and Nakamura,K.	Evolution of the haemagglutinin-esterase gene of influenza C virus	J. Gen. Virol. 77 (PT 4), 673-679 (1996)	NCBI Virus, Genbank
JX947861	HEF	Influenza C virus (C/Eastern India/1202/2011)	influenzaC	Roy Mukherjee,T., Mukherjee,A., Mullick,S. and Chawla-Sarkar,M.	Full genome analysis and characterization of influenza C virus identified in Eastern India	Infect. Genet. Evol. 16, 419-425 (2013)	NCBI Virus, Genbank
LC720285	HEF	Influenza C virus	influenzaC	Shirato,K., Kume,Y., Suwa,R., Kawase,M., Ono,T., Chishiki,M., Okabe,H., Norito,S., Sato,M., Sakuma,H., Suzuki,S., Hosoya,M., Takeda,M. and Hashimoto,K.	Isolation of influenza C viruses using air-liquid interface culture of human bronchial/tracheal epithelial cells	Unpublished	NCBI Virus, Genbank
LC512500	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Shimotai,Y., Kadowaki,Y., Sugawara,K., Hongo,S., Mizuta,K. and Nishimura,H.	Antigenic changes among the predominantly circulating C/Sao Paulo lineage strains of influenza C virus in Yamagata, Japan, between 2015 and 2018	Infect. Genet. Evol. 81, 104269 (2020)	NCBI Virus, Genbank
LC512501	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Shimotai,Y., Kadowaki,Y., Sugawara,K., Hongo,S., Mizuta,K. and Nishimura,H.	Antigenic changes among the predominantly circulating C/Sao Paulo lineage strains of influenza C virus in Yamagata, Japan, between 2015 and 2018	Infect. Genet. Evol. 81, 104269 (2020)	NCBI Virus, Genbank
LC512505	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Shimotai,Y., Kadowaki,Y., Sugawara,K., Hongo,S., Mizuta,K. and Nishimura,H.	Antigenic changes among the predominantly circulating C/Sao Paulo lineage strains of influenza C virus in Yamagata, Japan, between 2015 and 2018	Infect. Genet. Evol. 81, 104269 (2020)	NCBI Virus, Genbank
LC512513	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Shimotai,Y., Kadowaki,Y., Sugawara,K., Hongo,S., Mizuta,K. and Nishimura,H.	Antigenic changes among the predominantly circulating C/Sao Paulo lineage strains of influenza C virus in Yamagata, Japan, between 2015 and 2018	Infect. Genet. Evol. 81, 104269 (2020)	NCBI Virus, Genbank
LC512503	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Shimotai,Y., Kadowaki,Y., Sugawara,K., Hongo,S., Mizuta,K. and Nishimura,H.	Antigenic changes among the predominantly circulating C/Sao Paulo lineage strains of influenza C virus in Yamagata, Japan, between 2015 and 2018	Infect. Genet. Evol. 81, 104269 (2020)	NCBI Virus, Genbank
LC512507	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Shimotai,Y., Kadowaki,Y., Sugawara,K., Hongo,S., Mizuta,K. and Nishimura,H.	Antigenic changes among the predominantly circulating C/Sao Paulo lineage strains of influenza C virus in Yamagata, Japan, between 2015 and 2018	Infect. Genet. Evol. 81, 104269 (2020)	NCBI Virus, Genbank
LC512509	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Shimotai,Y., Kadowaki,Y., Sugawara,K., Hongo,S., Mizuta,K. and Nishimura,H.	Antigenic changes among the predominantly circulating C/Sao Paulo lineage strains of influenza C virus in Yamagata, Japan, between 2015 and 2018	Infect. Genet. Evol. 81, 104269 (2020)	NCBI Virus, Genbank
LC512512	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Shimotai,Y., Kadowaki,Y., Sugawara,K., Hongo,S., Mizuta,K. and Nishimura,H.	Antigenic changes among the predominantly circulating C/Sao Paulo lineage strains of influenza C virus in Yamagata, Japan, between 2015 and 2018	Infect. Genet. Evol. 81, 104269 (2020)	NCBI Virus, Genbank
LC512499	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Shimotai,Y., Kadowaki,Y., Sugawara,K., Hongo,S., Mizuta,K. and Nishimura,H.	Antigenic changes among the predominantly circulating C/Sao Paulo lineage strains of influenza C virus in Yamagata, Japan, between 2015 and 2018	Infect. Genet. Evol. 81, 104269 (2020)	NCBI Virus, Genbank
LC385865	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Mizuta,K. and Nishimura,H.	Neutralizing Epitopes and Residues Mediating the Potential Antigenic Drift of the Hemagglutinin-Esterase Protein of Influenza C Virus	Viruses 10, 417 (2018)	NCBI Virus, Genbank
LC122677	HEF	Influenza C virus (C/Tokyo/1/2014)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC013253	HEF	Influenza C virus (C/Yamagata/6/2014)	influenzaC	Tanaka,S., Aoki,Y., Matoba,Y., Yahagi,K., Mizuta,K., Itagaki,T., Katsushima,F., Katsushima,Y. and Matsuzaki,Y.	The dominant antigenic group of influenza C infections changed from c/sao paulo/378/82-lineage to c/kanagawa/1/76-lineage in yamagata, Japan, in 2014	Jpn. J. Infect. Dis. 68 (2), 166-168 (2015)	NCBI Virus, Genbank
MK050092	HEF	Influenza C virus	influenzaC	Lee,H.S., Lim,S., Noh,J.Y., Song,J.Y., Cheong,H.J., Lee,J.H., Woo,S.I. and Kim,W.J.	Identification of influenza C virus in young South Korean children, from October 2013 to September 2016	J. Clin. Virol. 115, 47-52 (2019)	NCBI Virus, Genbank
LC122675	HEF	Influenza C virus (C/Miyagi/5/2014)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122678	HEF	Influenza C virus (C/Tokyo/4/2014)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC013260	HEF	Influenza C virus (C/Yamagata/33/2014)	influenzaC	Tanaka,S., Aoki,Y., Matoba,Y., Yahagi,K., Mizuta,K., Itagaki,T., Katsushima,F., Katsushima,Y. and Matsuzaki,Y.	The dominant antigenic group of influenza C infections changed from c/sao paulo/378/82-lineage to c/kanagawa/1/76-lineage in yamagata, Japan, in 2014	Jpn. J. Infect. Dis. 68 (2), 166-168 (2015)	NCBI Virus, Genbank
KM504280	HEF	Influenza C virus (C/Victoria/2/2012)	influenzaC	Liu,R., Hause,B.M. and Li,F.	Biological and Genetic Characterization of C/Victoria/2/2012, a Contemporary Human Influenza C virus	Unpublished	NCBI Virus, Genbank
KT835354	HEF	Influenza C virus (C/Scotland/7482/2007)	influenzaC	Smith,D.B., Gaunt,E.R., Digard,P., Templeton,K. and Simmonds,P.	Detection of influenza C virus but not influenza D virus in Scottish respiratory samples	J. Clin. Virol. 74, 50-53 (2016)	NCBI Virus, Genbank
MK480599	HEF	Influenza C virus	influenzaC	Chansaenroj,J., Thongpan,I., Vichiwattana,Y. and Poovorawan,Y.	Influenza C virus whole genome	Unpublished	NCBI Virus, Genbank
CY239435	HEF	Influenza C virus (C/Minnesota/09/2015)	influenzaC	Shu,B., Brian,L. and Lindstrom,S.	Influenza Sequencing Activity group	Unpublished	NCBI Virus, Genbank
MZ330902	HEF	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
MZ330993	HEF	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
AB978563	HEF	Influenza C virus (C/Leyte/1/2013)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Suzuki,A., Saito,M., Tamaki,R., Lupisan,S.P., Sombrero,L.T., Hongo,S. and Oshitani,H.	Isolation and characterization of influenza C viruses in the Philippines and Japan	J. Clin. Microbiol. 53 (3), 847-858 (2015)	NCBI Virus, Genbank
MZ331007	HEF	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
AB978548	HEF	Influenza C virus (C/Leyte/1/2011)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Suzuki,A., Saito,M., Tamaki,R., Lupisan,S.P., Sombrero,L.T., Hongo,S. and Oshitani,H.	Isolation and characterization of influenza C viruses in the Philippines and Japan	J. Clin. Microbiol. 53 (3), 847-858 (2015)	NCBI Virus, Genbank
AB978549	HEF	Influenza C virus (C/Leyte/2/2011)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Suzuki,A., Saito,M., Tamaki,R., Lupisan,S.P., Sombrero,L.T., Hongo,S. and Oshitani,H.	Isolation and characterization of influenza C viruses in the Philippines and Japan	J. Clin. Microbiol. 53 (3), 847-858 (2015)	NCBI Virus, Genbank
AB978550	HEF	Influenza C virus (C/Leyte/3/2011)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Suzuki,A., Saito,M., Tamaki,R., Lupisan,S.P., Sombrero,L.T., Hongo,S. and Oshitani,H.	Isolation and characterization of influenza C viruses in the Philippines and Japan	J. Clin. Microbiol. 53 (3), 847-858 (2015)	NCBI Virus, Genbank
AB978551	HEF	Influenza C virus (C/Leyte/4/2011)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Suzuki,A., Saito,M., Tamaki,R., Lupisan,S.P., Sombrero,L.T., Hongo,S. and Oshitani,H.	Isolation and characterization of influenza C viruses in the Philippines and Japan	J. Clin. Microbiol. 53 (3), 847-858 (2015)	NCBI Virus, Genbank
AB978552	HEF	Influenza C virus (C/Leyte/5/2011)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Suzuki,A., Saito,M., Tamaki,R., Lupisan,S.P., Sombrero,L.T., Hongo,S. and Oshitani,H.	Isolation and characterization of influenza C viruses in the Philippines and Japan	J. Clin. Microbiol. 53 (3), 847-858 (2015)	NCBI Virus, Genbank
AB978560	HEF	Influenza C virus (C/Biliran/1/2013)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Suzuki,A., Saito,M., Tamaki,R., Lupisan,S.P., Sombrero,L.T., Hongo,S. and Oshitani,H.	Isolation and characterization of influenza C viruses in the Philippines and Japan	J. Clin. Microbiol. 53 (3), 847-858 (2015)	NCBI Virus, Genbank
AB978564	HEF	Influenza C virus (C/Leyte/2/2013)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Suzuki,A., Saito,M., Tamaki,R., Lupisan,S.P., Sombrero,L.T., Hongo,S. and Oshitani,H.	Isolation and characterization of influenza C viruses in the Philippines and Japan	J. Clin. Microbiol. 53 (3), 847-858 (2015)	NCBI Virus, Genbank
AB978561	HEF	Influenza C virus (C/Biliran/2/2013)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Suzuki,A., Saito,M., Tamaki,R., Lupisan,S.P., Sombrero,L.T., Hongo,S. and Oshitani,H.	Isolation and characterization of influenza C viruses in the Philippines and Japan	J. Clin. Microbiol. 53 (3), 847-858 (2015)	NCBI Virus, Genbank
AB978562	HEF	Influenza C virus (C/Biliran/3/2013)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Suzuki,A., Saito,M., Tamaki,R., Lupisan,S.P., Sombrero,L.T., Hongo,S. and Oshitani,H.	Isolation and characterization of influenza C viruses in the Philippines and Japan	J. Clin. Microbiol. 53 (3), 847-858 (2015)	NCBI Virus, Genbank
AB978565	HEF	Influenza C virus (C/Leyte/3/2013)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Suzuki,A., Saito,M., Tamaki,R., Lupisan,S.P., Sombrero,L.T., Hongo,S. and Oshitani,H.	Isolation and characterization of influenza C viruses in the Philippines and Japan	J. Clin. Microbiol. 53 (3), 847-858 (2015)	NCBI Virus, Genbank
AB978566	HEF	Influenza C virus (C/Palawan/1/2013)	influenzaC	Odagiri,T., Matsuzaki,Y., Okamoto,M., Suzuki,A., Saito,M., Tamaki,R., Lupisan,S.P., Sombrero,L.T., Hongo,S. and Oshitani,H.	Isolation and characterization of influenza C viruses in the Philippines and Japan	J. Clin. Microbiol. 53 (3), 847-858 (2015)	NCBI Virus, Genbank
HM748632	HEF	Influenza C virus (C/Catalonia/1430/2009)	influenzaC	Anton,A., Marcos,M.A., Codoner,F.M., de Molina,P., Martinez,A., Cardenosa,N., Godoy,P., Torner,N., Martinez,M.J., Ramon,S., Tudo,G., Isanta,R., Gonzalo,V., Jimenez de Anta,M.T. and Pumarola,T.	Influenza C virus surveillance during the first influenza A (H1N1) 2009 pandemic wave in Catalonia, Spain	Diagn. Microbiol. Infect. Dis. 69 (4), 419-427 (2011)	NCBI Virus, Genbank
MZ330923	HEF	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
MZ330930	HEF	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
MZ330937	HEF	Influenza C virus	influenzaC	Okamoto,M. and Fujita,D.	Direct Submission	Submitted (02-JUN-2021) Virology, Graduate school of Medicine, Tohoku University, 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8595, Japan	NCBI Virus, Genbank
KT232085	HEF	Influenza C virus (C/India/P119564/2011)	influenzaC	Potdar,V.A., Hinge,D.D., Dakhave,M.R. and Jadhav,N.A.	Retrospective detection & characterization of Influenza C virus in pediatric patients from western India	Unpublished	NCBI Virus, Genbank
KM507548	HEF	Influenza C virus (C/India/P121719/2012)	influenzaC	Potdar,V.A., Dakhave,M.R. and Manchanda,A.	Retrospective Detection and Characterization of Influenza C virus from Western India	Unpublished	NCBI Virus, Genbank
LC512487	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Shimotai,Y., Kadowaki,Y., Sugawara,K., Hongo,S., Mizuta,K. and Nishimura,H.	Antigenic changes among the predominantly circulating C/Sao Paulo lineage strains of influenza C virus in Yamagata, Japan, between 2015 and 2018	Infect. Genet. Evol. 81, 104269 (2020)	NCBI Virus, Genbank
LC122665	HEF	Influenza C virus (C/Miyagi/3/2010)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
AB899780	HEF	Influenza C virus (C/Yamagata/2/2010)	influenzaC	Matsuzaki,Y., Sugawara,K., Abiko,C., Ikeda,T., Aoki,Y., Mizuta,K., Katsushima,N., Katsushima,F., Katsushima,Y., Itagaki,T., Shimotai,Y., Hongo,S., Muraki,Y. and Nishimura,H.	Epidemiological information regarding the periodic epidemics of influenza C virus in Japan (1996-2013) and the seroprevalence of antibodies to different antigenic groups	J. Clin. Virol. 61 (1), 87-93 (2014)	NCBI Virus, Genbank
LC122673	HEF	Influenza C virus (C/Fukuoka/1/2012)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122661	HEF	Influenza C virus (C/Yamagata/3/2008)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122664	HEF	Influenza C virus (C/Miyagi/2/2008)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC013263	HEF	Influenza C virus (C/Yamagata/18/2008)	influenzaC	Tanaka,S., Aoki,Y., Matoba,Y., Yahagi,K., Mizuta,K., Itagaki,T., Katsushima,F., Katsushima,Y. and Matsuzaki,Y.	The dominant antigenic group of influenza C infections changed from c/sao paulo/378/82-lineage to c/kanagawa/1/76-lineage in yamagata, Japan, in 2014	Jpn. J. Infect. Dis. 68 (2), 166-168 (2015)	NCBI Virus, Genbank
LC122662	HEF	Influenza C virus (C/Yamagata/11/2008)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122668	HEF	Influenza C virus (C/Yamagata/3/2012)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122672	HEF	Influenza C virus (C/Miyagi/2/2012)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
AB899782	HEF	Influenza C virus (C/Yamagata/29/2012)	influenzaC	Matsuzaki,Y., Sugawara,K., Abiko,C., Ikeda,T., Aoki,Y., Mizuta,K., Katsushima,N., Katsushima,F., Katsushima,Y., Itagaki,T., Shimotai,Y., Hongo,S., Muraki,Y. and Nishimura,H.	Epidemiological information regarding the periodic epidemics of influenza C virus in Japan (1996-2013) and the seroprevalence of antibodies to different antigenic groups	J. Clin. Virol. 61 (1), 87-93 (2014)	NCBI Virus, Genbank
LC122670	HEF	Influenza C virus (C/Yamagata/14/2012)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122666	HEF	Influenza C virus (C/Tokyo/3/2010)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122656	HEF	Influenza C virus (C/Yamagata/9/2006)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122659	HEF	Influenza C virus (C/Miyagi/4/2006)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122658	HEF	Influenza C virus (C/Yamagata/20/2006)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
