Accession	Virus	Strain	Segment	Originating_lab	Submitting_lab	Database
EPI465354	vic	B/Yamagata/1/1973	ha		National Institute Of Infectious Diseases (niid)	GISAID
EPI242850	vic	B/Gifu/1973	ha		Other Database Import	GISAID
EPI242851	vic	B/Gunma/1973	ha		Other Database Import	GISAID
EPI49	vic	B/Aichi/7/1976	ha		Other Database Import	GISAID
EPI8182	vic	B/Shanghai/24/1976	ha		Other Database Import	GISAID
EPI8186	vic	B/Du/4/1978	ha		Other Database Import	GISAID
EPI8184	vic	B/Shanghai/1/1977	ha		Other Database Import	GISAID
EPI8180	vic	B/Beijing/5/1976	ha		Other Database Import	GISAID
EPI8178	vic	B/Beijing/43/1975	ha		Other Database Import	GISAID
EPI8188	vic	B/Shanghai/10/1980	ha		Other Database Import	GISAID
EPI8194	vic	B/Xuanwu/23/1982	ha		Other Database Import	GISAID
EPI8196	vic	B/Ningxia/45/1983	ha		Other Database Import	GISAID
EPI105144	vic	B/AnnArbor/1/1986	ha		Other Database Import	GISAID
EPI131050	vic	B/Canada/3/1985	ha		Other Database Import	GISAID
EPI129140	vic	B/Finland/24/1985	ha		Other Database Import	GISAID
EPI129972	vic	B/Ibaraki/2/1985	ha		Other Database Import	GISAID
EPI8200	vic	B/Shanghai/35/1984	ha		Other Database Import	GISAID
EPI5585	vic	B/Nashville/6/1989	ha		Other Database Import	GISAID
EPI130078	vic	B/Ussr/2/1987	ha		Other Database Import	GISAID
EPI129142	vic	B/Finland/56/1988	ha		Other Database Import	GISAID
EPI129974	vic	B/Nagasaki/1/1987	ha		Other Database Import	GISAID
EPI131390	vic	B/Beijing/1/1987	ha		Other Database Import	GISAID
EPI130089	vic	B/Victoria/2/1987	ha		Other Database Import	GISAID
EPI130293	vic	B/India/3/1989	ha		Other Database Import	GISAID
EPI130086	vic	B/Texas/37/1988	ha		Other Database Import	GISAID
EPI130303	vic	B/Paris/329/1990	ha		Other Database Import	GISAID
EPI130088	vic	B/Chengdu/54/1988	ha		Other Database Import	GISAID
EPI130085	vic	B/Aichi/5/1988	ha		Other Database Import	GISAID
EPI129130	vic	B/Finland/151/1990	ha		Other Database Import	GISAID
EPI129399	vic	B/Czechoslovakia/16/1989	ha		Other Database Import	GISAID
EPI242899	vic	B/USSR/Novogorod/21/1991	ha		Other Database Import	GISAID
EPI80644	vic	B/Osaka/c19/1993	ha		Other Database Import	GISAID
EPI51934	vic	B/HongKong/2/1993	ha		Other Database Import	GISAID
EPI20726	vic	B/Nanchang/3/1995	ha		Other Database Import	GISAID
EPI5697	vic	B/Nanchang/6/1996	ha		Other Database Import	GISAID
EPI80650	vic	B/Kagoshima/15/1994	ha		Other Database Import	GISAID
EPI4363	vic	B/Guangdong/5/1994	ha		Other Database Import	GISAID
EPI51307	vic	B/HongKong/70/1996	ha		Other Database Import	GISAID
EPI11075	vic	B/Chongqing/3/2000	ha		Other Database Import	GISAID
EPI1035	vic	B/Akita/27/2001	ha		Other Database Import	GISAID
EPI51535	vic	B/HongKong/22/2001	ha		Other Database Import	GISAID
EPI11123	vic	B/HongKong/6/2001	ha		Other Database Import	GISAID
EPI20122	vic	B/HongKong/330/2001	ha		Other Database Import	GISAID
EPI1938105	vic	B/Singapore/15/2001	ha	Singapore General Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI11083	vic	B/Hawaii/10/2001	ha		Other Database Import	GISAID
EPI11099	vic	B/HongKong/1115/2002	ha		Other Database Import	GISAID
EPI11079	vic	B/Cnic/27/2001	ha		Other Database Import	GISAID
EPI1923361	vic	B/Philippines/640/2001	ha	Research Institute Of Tropical Medicine	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1923147	vic	B/Philippines/633/2001	ha	Research Institute Of Tropical Medicine	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI13727	vic	B/Milan/1/2001	ha		Other Database Import	GISAID
EPI56163	vic	B/HongKong/28/2001	ha		Other Database Import	GISAID
EPI11107	vic	B/HongKong/1434/2002	ha		Other Database Import	GISAID
EPI1927011	vic	B/Taiwan/9/2002	ha	Centers For Disease Control	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI157038	vic	B/HongKong/6328/2003	ha		Centers For Disease Control And Prevention	GISAID
EPI604231	vic	B/Fujian/198/2003	ha		Other Database Import	GISAID
EPI605018	vic	B/Sichuan/259/2003	ha		Other Database Import	GISAID
EPI157160	vic	B/Philippines/1159146/2003	ha		Centers For Disease Control And Prevention	GISAID
EPI939	vic	B/Yamagata/222/2002	ha		Other Database Import	GISAID
EPI1927000	vic	B/Philippines/765/2001	ha	Research Institute Of Tropical Medicine	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI11103	vic	B/HongKong/123/2001	ha		Other Database Import	GISAID
EPI11111	vic	B/HongKong/329/2001	ha		Other Database Import	GISAID
EPI15308	vic	B/Sichuan/281/1996	ha		Other Database Import	GISAID
EPI1885255	vic	B/Bangkok/624/1998	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI11069	vic	B/Bangkok/34/1999	ha		Other Database Import	GISAID
EPI11071	vic	B/Bangkok/54/1999	ha		Other Database Import	GISAID
EPI116957	vic	B/Bangkok/52/1999	ha		Other Database Import	GISAID
EPI1886359	vic	B/Bangkok/53/1999	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI9775	vic	B/Shandong/7/1997	ha		Other Database Import	GISAID
EPI8350	vic	B/Sichuan/38/2000	ha		Other Database Import	GISAID
EPI604325	vic	B/Sichuan/34/2001	ha		Other Database Import	GISAID
EPI20742	vic	B/Nanchang/6/1998	ha		Other Database Import	GISAID
EPI4369	vic	B/Osaka/491/1997	ha		Other Database Import	GISAID
EPI20738	vic	B/Nanchang/4/1997	ha		Other Database Import	GISAID
EPI11143	vic	B/Nanchang/1/2000	ha		Other Database Import	GISAID
EPI216	vic	B/Aichi/20/1999	ha		Other Database Import	GISAID
EPI71	vic	B/Aichi/15/1997	ha		Other Database Import	GISAID
EPI4361	vic	B/Beijing/243/1997	ha		Other Database Import	GISAID
EPI77	vic	B/Aichi/5/1998	ha		Other Database Import	GISAID
EPI75	vic	B/Aichi/3/1998	ha		Other Database Import	GISAID
EPI5184	vic	B/Shiga/51/1998	ha		Other Database Import	GISAID
EPI374287	vic	B/Malaysia/15048/1998	ha		Other Database Import	GISAID
EPI5176	vic	B/Chiba/447/1998	ha		Other Database Import	GISAID
EPI1923372	vic	B/Taiwan/6/2001	ha	Center For Disease Control	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI56106	vic	B/Taiwan/1484/2001	ha		Other Database Import	GISAID
EPI13585	vic	B/Israel/95/2003	ha		Other Database Import	GISAID
EPI314900	vic	B/England/403/2002	ha		Other Database Import	GISAID
EPI479048	vic	B/Waikato/27/2002	ha		Other Database Import	GISAID
EPI11141	vic	B/Malaysia/83077/2001	ha		Other Database Import	GISAID
EPI43604	vic	B/NewMexico/9/2003	ha		Other Database Import	GISAID
EPI1927002	vic	B/Singapore/1/2002	ha	Singapore General Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1926962	vic	B/Bangkok/62/2002	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI15330	vic	B/Oman/16296/2001	ha		Other Database Import	GISAID
EPI15326	vic	B/Oman/16299/2001	ha		Other Database Import	GISAID
EPI347339	vic	B/Mauritius/219/2002	ha	Central Health Laboratory	National Institute For Medical Research	GISAID
EPI314901	vic	B/England/437/2002	ha		Other Database Import	GISAID
EPI347334	vic	B/Fatick/37/2002	ha	Institut Pasteur De Dakar	National Institute For Medical Research	GISAID
EPI478400	vic	B/Victoria/115/2002	ha		Other Database Import	GISAID
EPI478464	vic	B/Victoria/133/2002	ha		Other Database Import	GISAID
EPI347333	vic	B/Dakar/31/2002	ha	Institut Pasteur De Dakar	National Institute For Medical Research	GISAID
EPI347332	vic	B/Dakar/28/2002	ha	Institut Pasteur De Dakar	National Institute For Medical Research	GISAID
EPI157095	vic	B/Kazakhstan/222/2004	ha		Centers For Disease Control And Prevention	GISAID
EPI478336	vic	B/Sydney/5/2002	ha		Other Database Import	GISAID
EPI347320	vic	B/Madagascar/71928/2004	ha	Institut Pasteur De Madagascar	National Institute For Medical Research	GISAID
EPI478968	vic	B/Brisbane/72/2002	ha		Other Database Import	GISAID
EPI157065	vic	B/India/5774/2005	ha		Centers For Disease Control And Prevention	GISAID
EPI156941	vic	B/Egypt/923229/2003	ha		Centers For Disease Control And Prevention	GISAID
EPI156937	vic	B/Egypt/904582/2003	ha		Centers For Disease Control And Prevention	GISAID
EPI604682	vic	B/Romania/903/2003	ha		Other Database Import	GISAID
EPI157067	vic	B/India/77311/2001	ha		Centers For Disease Control And Prevention	GISAID
EPI11133	vic	B/India/7600/2001	ha		Other Database Import	GISAID
EPI1926981	vic	B/Chanthaburi/328/2002	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI479024	vic	B/Waikato/24/2002	ha		Other Database Import	GISAID
EPI478448	vic	B/Sydney/213/2002	ha		Other Database Import	GISAID
EPI479040	vic	B/Auckland/36/2002	ha		Other Database Import	GISAID
EPI1938099	vic	B/Indonesia/8654/2002	ha	U.s. Namru 2   Indonesia	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI478285	vic	B/Sydney/1/2002	ha		Other Database Import	GISAID
EPI478296	vic	B/Sydney/2/2002	ha		Other Database Import	GISAID
EPI478952	vic	B/Wellington/7/2002	ha		Other Database Import	GISAID
EPI478976	vic	B/Townsville/16/2002	ha		Other Database Import	GISAID
EPI1938072	vic	A/Perth/316/2003	ha	Princess Margaret Hospital For Children	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI116949	vic	B/Perth/201/2003	ha		Other Database Import	GISAID
EPI1926987	vic	B/Johannesburg/8/2002	ha	National Institute For Communicable Disease	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1927080	vic	B/Bangkok/64/2002	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI314899	vic	B/England/401/2002	ha		Other Database Import	GISAID
EPI518194	vic	B/NewYork/1051/2002	ha		Other Database Import	GISAID
EPI478608	vic	B/Victoria/150/2002	ha		Other Database Import	GISAID
EPI314902	vic	B/England/443/2002	ha		Other Database Import	GISAID
EPI11105	vic	B/HongKong/1351/2002	ha	Centers For Disease Control And Prevention	Other Database Import	GISAID
EPI478416	vic	B/Waikato/3/2002	ha		Other Database Import	GISAID
EPI157115	vic	B/Lipetsk/17/2003	ha		Centers For Disease Control And Prevention	GISAID
EPI50396	vic	B/Houston/B71/2002	ha		Other Database Import	GISAID
EPI1938092	vic	B/Argentina/68/2002	ha	Who Collaborating Centre For Reference And Research On Influenza	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1938097	vic	B/Brazil/8/2002	ha	Who Collaborating Centre For Reference And Research On Influenza	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1938094	vic	B/Brazil/12/2002	ha	Who Collaborating Centre For Reference And Research On Influenza	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1938107	vic	B/Taiwan/5/2002	ha	Center For Disease Control	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI605458	vic	B/Wulumuqi/26/2004	ha		Other Database Import	GISAID
EPI157040	vic	B/HongKong/6400/2003	ha		Centers For Disease Control And Prevention	GISAID
EPI157033	vic	B/HongKong/553/2003	ha		Centers For Disease Control And Prevention	GISAID
EPI51080	vic	B/HongKong/553a/2003	ha		Other Database Import	GISAID
EPI13607	vic	B/Jeju/303/2003	ha		Other Database Import	GISAID
EPI157101	vic	B/Khabarovsk/14/2005	ha		Centers For Disease Control And Prevention	GISAID
EPI157212	vic	B/Taiwan/1558/2004	ha		Centers For Disease Control And Prevention	GISAID
EPI43598	vic	B/Arizona/13/2003	ha		Other Database Import	GISAID
EPI176044	vic	B/Ningbo/602/2004	ha		Other Database Import	GISAID
EPI13741	vic	B/Parma/2/2004	ha		Other Database Import	GISAID
EPI604205	vic	B/Talcahuano/6830/2004	ha		Other Database Import	GISAID
EPI479056	vic	B/Auckland/1/2003	ha		Other Database Import	GISAID
EPI43558	vic	B/NewYork/2/2002	ha		Other Database Import	GISAID
EPI11145	vic	B/NewYork/1/2002	ha		Other Database Import	GISAID
EPI517573	vic	B/NewYork/1053/2002	ha		Other Database Import	GISAID
EPI605955	vic	B/Yurimaguas/3165/2005	ha		Other Database Import	GISAID
EPI43596	vic	B/Arizona/12/2003	ha		Other Database Import	GISAID
EPI338065	vic	B/California/NHRC0004/2003	ha		Other Database Import	GISAID
EPI43634	vic	B/NewYork/18/2003	ha		Other Database Import	GISAID
EPI50586	vic	B/Temple/B30/2003	ha		Other Database Import	GISAID
EPI158367	vic	B/Colombia/4594/2004	ha		Centers For Disease Control And Prevention	GISAID
EPI43843	vic	B/Michigan/20/2005	ha		Other Database Import	GISAID
EPI479528	vic	B/Brisbane/65/2005	ha		Other Database Import	GISAID
EPI43776	vic	B/Arizona/16/2005	ha		Other Database Import	GISAID
EPI117585	vic	B/Johannesburg/501/2005	ha		Other Database Import	GISAID
EPI479664	vic	B/Sydney/503/2005	ha		Other Database Import	GISAID
EPI338041	vic	B/SouthCarolina/NHRC0001/2004	ha		Other Database Import	GISAID
EPI479071	vic	B/Victoria/107/2005	ha		Other Database Import	GISAID
EPI479536	vic	B/Victoria/524/2005	ha		Other Database Import	GISAID
EPI479697	vic	B/Sydney/504/2005	ha		Other Database Import	GISAID
EPI479720	vic	B/Brisbane/103/2005	ha	Queensland Health Forensic And Scientific Services 	Other Database Import	GISAID
EPI477717	vic	B/Brisbane/101/2005	ha		Other Database Import	GISAID
EPI479656	vic	B/Brisbane/97/2005	ha		Other Database Import	GISAID
EPI479480	vic	B/Brisbane/38/2005	ha		Other Database Import	GISAID
EPI517595	vic	B/NewYork/1083/2005	ha		Other Database Import	GISAID
EPI604381	vic	B/Chile/6218/2005	ha		Other Database Import	GISAID
EPI157154	vic	B/Peru/4103/2006	ha		Centers For Disease Control And Prevention	GISAID
EPI43855	vic	B/NewJersey/6/2005	ha		Other Database Import	GISAID
EPI157047	vic	B/HongKong/797/2005	ha		Centers For Disease Control And Prevention	GISAID
EPI479119	vic	B/Victoria/505/2005	ha	Monash Medical Centre	Other Database Import	GISAID
EPI156906	vic	B/Chile/6755/2005	ha		Centers For Disease Control And Prevention	GISAID
EPI56144	vic	B/SouthCarolina/4/2003	ha		Other Database Import	GISAID
EPI156964	vic	B/Germany/815/2003	ha		Centers For Disease Control And Prevention	GISAID
EPI157251	vic	B/Turkey/1227/2003	ha		Centers For Disease Control And Prevention	GISAID
EPI157111	vic	B/Kyonggi/501/2004	ha		Centers For Disease Control And Prevention	GISAID
EPI110512	vic	B/Taiwan/75/2004	ha		Other Database Import	GISAID
EPI123945	vic	B/Philippines/1506/2006	ha	Research Institute Of Tropical Medicine	Other Database Import	GISAID
EPI157215	vic	B/Taiwan/473/2005	ha		Centers For Disease Control And Prevention	GISAID
EPI1989300	vic	B/Perth/33/2004	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI117489	vic	B/Perth/12/2004	ha		Other Database Import	GISAID
EPI117511	vic	B/Phitsanulok/2053/2004	ha		Other Database Import	GISAID
EPI157262	vic	B/Uzbekistan/7236/2006	ha		Centers For Disease Control And Prevention	GISAID
EPI1990264	vic	B/Thailand/500/2005	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI43664	vic	B/Hawaii/11/2004	ha		Other Database Import	GISAID
EPI159962	vic	B/Hawaii/33/2004	ha		Other Database Import	GISAID
EPI43686	vic	B/Washington/1/2004	ha		Other Database Import	GISAID
EPI1938031	vic	B/Surin/1597/2004	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI160026	vic	B/Taiwan/91061/2005	ha		Other Database Import	GISAID
EPI43580	vic	B/Texas/57/2002	ha		Other Database Import	GISAID
EPI43610	vic	B/Massachusetts/5/2003	ha		Other Database Import	GISAID
EPI157196	vic	B/SaintLucia/2185/2004	ha		Centers For Disease Control And Prevention	GISAID
EPI43628	vic	B/Florida/1/2004	ha		Other Database Import	GISAID
EPI518266	vic	B/NewYork/1394/2003	ha		Other Database Import	GISAID
EPI43654	vic	B/NewYork/9/2004	ha		Other Database Import	GISAID
EPI156873	vic	B/Brazil/658/2004	ha		Centers For Disease Control And Prevention	GISAID
EPI158358	vic	B/Brazil/136/2005	ha		Centers For Disease Control And Prevention	GISAID
EPI158340	vic	B/Argentina/70/2005	ha		Centers For Disease Control And Prevention	GISAID
EPI347323	vic	B/Reunion/1154/2005	ha	Crr Virus Influenza Region Sud	National Institute For Medical Research	GISAID
EPI157116	vic	B/Lyon/113/2006	ha		Centers For Disease Control And Prevention	GISAID
EPI127684	vic	B/Lisbon/32/2005	ha		Other Database Import	GISAID
EPI115349	vic	B/Johannesburg/27/2005	ha		Other Database Import	GISAID
EPI605006	vic	B/Romania/508/2005	ha		Other Database Import	GISAID
EPI347321	vic	B/Johannesburg/22/2004	ha	National Institute For Communicable Disease	National Institute For Medical Research	GISAID
EPI51725	vic	B/Paraguay/636/2003	ha		Other Database Import	GISAID
EPI158371	vic	B/Indonesia/1867/2005	ha		Centers For Disease Control And Prevention	GISAID
EPI156930	vic	B/Egypt/460/2006	ha		Centers For Disease Control And Prevention	GISAID
EPI155118	vic	B/Indonesia/2117/2006	ha		Centers For Disease Control And Prevention	GISAID
EPI157070	vic	B/Indonesia/15744/2005	ha		Centers For Disease Control And Prevention	GISAID
EPI605778	vic	B/Wakayama/10/2004	ha		Other Database Import	GISAID
EPI172359	vic	B/Malaysia/1750/2008	ha	Institut Penyelidikan Perubatan	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI304952	vic	B/Philippines/6363/2009	ha	Research Institute Of Tropical Medicine	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI241199	vic	B/Taiwan/55/2009	ha	Adimmune Corporation	Centers For Disease Control And Prevention	GISAID
EPI163719	vic	B/PapuaNewGuinea/3/2008	ha	Papua New Guinea Institute Of Medical Research	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI272002	vic	B/Songkhla/164/2010	ha	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI210295	vic	B/Singapore/21/2009	ha	National University Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI193088	vic	B/Vietnam/132/2009	ha	National Institute Of Hygiene And Epidemiology	Centers For Disease Control And Prevention	GISAID
EPI243625	vic	B/HongKong/235/2009	ha	Government Virus Unit	National Institute For Medical Research	GISAID
EPI249986	vic	B/Lao/225/2009	ha	National Center For Laboratory And Epidemiology	Centers For Disease Control And Prevention	GISAID
EPI331135	vic	B/Lao/89/2011	ha	National Center For Laboratory And Epidemiology	Centers For Disease Control And Prevention	GISAID
EPI241196	vic	B/Vietnam/532/2009	ha	National Institute Of Hygiene And Epidemiology	Centers For Disease Control And Prevention	GISAID
EPI605696	vic	B/Vietnam/TX532/2009	ha		Other Database Import	GISAID
EPI374567	vic	B/Malaysia/1781325/2007	ha		Other Database Import	GISAID
EPI1938014	vic	B/Malaysia/2069/2004	ha	Institut Penyelidikan Perubatan	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI160034	vic	B/Taiwan/70061/2006	ha		Other Database Import	GISAID
EPI123882	vic	B/Brisbane/102/2005	ha		Other Database Import	GISAID
EPI1990263	vic	B/Taiwan/6/2006	ha	Center For Disease Control	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI123961	vic	B/Malaysia/2506/2004	ha		Other Database Import	GISAID
EPI211555	vic	B/HongKong/45/2005	ha	Government Virus Unit	National Institute For Medical Research	GISAID
EPI374439	vic	B/Malaysia/33271/2005	ha		Other Database Import	GISAID
EPI374519	vic	B/Malaysia/1723975/2007	ha		Other Database Import	GISAID
EPI554799	vic	B/Hunan-Lusong/1459/2006	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
EPI604630	vic	B/Chongqing/1400/2005	ha		Other Database Import	GISAID
EPI374383	vic	B/Malaysia/30474/2004	ha		Other Database Import	GISAID
EPI155693	vic	B/India/33242/2006	ha		Centers For Disease Control And Prevention	GISAID
EPI374359	vic	B/Malaysia/29570/2004	ha		Other Database Import	GISAID
EPI374463	vic	B/Malaysia/33922/2006	ha		Other Database Import	GISAID
EPI51744	vic	B/HongKong/310/2004	ha		Other Database Import	GISAID
EPI374423	vic	B/Malaysia/31752/2005	ha		Other Database Import	GISAID
EPI374415	vic	B/Malaysia/31529/2005	ha		Other Database Import	GISAID
EPI374407	vic	B/Malaysia/30743/2005	ha		Other Database Import	GISAID
EPI159906	vic	B/Taiwan/94/2005	ha		Other Database Import	GISAID
EPI374367	vic	B/Malaysia/30238/2004	ha		Other Database Import	GISAID
EPI374431	vic	B/Malaysia/33021/2005	ha		Other Database Import	GISAID
EPI600490	vic	B/JiangxiZhanggong/32/2008	ha		Other Database Import	GISAID
EPI161569	vic	B/Jiangxi/1638/2006	ha		Other Database Import	GISAID
EPI554922	vic	B/Jilin-Chaoyang/1126/2007	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
EPI604099	vic	B/HubeiJiangan/1146/2004	ha		Other Database Import	GISAID
EPI163174	vic	B/Chita/3/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI160042	vic	B/Taiwan/70690/2006	ha		Other Database Import	GISAID
EPI155478	vic	B/Yunnan/Malipo32/2006	ha		Centers For Disease Control And Prevention	GISAID
EPI155476	vic	B/Yunnan/Yingjiang31/2006	ha		Centers For Disease Control And Prevention	GISAID
EPI155178	vic	B/YunnanHonghe/15039/2006	ha		Centers For Disease Control And Prevention	GISAID
EPI157217	vic	B/Taiwan/740/2007	ha		Centers For Disease Control And Prevention	GISAID
EPI378177	vic	B/Jiangsu-Jingjiang/33/2012	ha	Who Chinese National Influenza Center	Centers For Disease Control And Prevention	GISAID
EPI605680	vic	B/Fukushima/10/2004	ha		Other Database Import	GISAID
EPI605787	vic	B/Chiba/4/2004	ha		Other Database Import	GISAID
EPI168169	vic	B/HongKong/1265/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI605936	vic	B/ShanghaiPudongxin/240/2004	ha		Other Database Import	GISAID
EPI604379	vic	B/Tottori/1/2004	ha		Other Database Import	GISAID
EPI605796	vic	B/Shimane/12/2004	ha		Other Database Import	GISAID
EPI155976	vic	B/Hubei/Maojian324/2007	ha		Centers For Disease Control And Prevention	GISAID
EPI155634	vic	B/ShaanxiBeilin/1453/2006	ha		Centers For Disease Control And Prevention	GISAID
EPI604134	vic	B/HubeiXianningShashi/15/2009	ha		Other Database Import	GISAID
EPI604081	vic	B/HubeiJingzhouSongzi/340/2008	ha		Other Database Import	GISAID
EPI172569	vic	B/Hubei/Songzi51/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI156958	vic	B/Fujian/Siming1173/2007	ha		Centers For Disease Control And Prevention	GISAID
EPI155982	vic	B/Tianjin/Nankai194/2007	ha		Centers For Disease Control And Prevention	GISAID
EPI605551	vic	B/HubeiJiangan/1131/2004	ha		Other Database Import	GISAID
EPI604839	vic	B/Hyogo/20/2004	ha		Other Database Import	GISAID
EPI605370	vic	B/Chiba/5/2004	ha		Other Database Import	GISAID
EPI220939	vic	B/Zhuhai/391/2008	ha		Other Database Import	GISAID
EPI249545	vic	B/Lao/1232/2009	ha	National Institute Of Infectious Diseases (niid)	Centers For Disease Control And Prevention	GISAID
EPI169122	vic	B/Chiba/5/2008	ha		National Institute Of Infectious Diseases (niid)	GISAID
EPI168157	vic	B/Moscow/25/2008	ha		Centers For Disease Control And Prevention	GISAID
EPI554925	vic	B/Tianjin-Nankai/1224/2007	ha	Who Chinese National Influenza Center	Who Chinese National Influenza Center	GISAID
EPI1990235	vic	B/NewCaledonia/5/2006	ha	Institut Pasteur New Caledonia	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI132087	vic	B/Milan/12/2006	ha		Other Database Import	GISAID
EPI123050	vic	B/NorthCarolina/3/2006	ha		Centers For Disease Control And Prevention	GISAID
