Accession	Virus	Strain	Segment	Originating_lab	Submitting_lab	Database
EPI105001	h3n2	A/Leningrad/360/1986	ha		Other Database Import	GISAID
EPI4125	h3n2	A/Czechoslovakia/4/1986	ha		Other Database Import	GISAID
EPI239940	h3n2	A/Gunma/346/1985	ha		Other Database Import	GISAID
EPI365609	h3n2	A/Netherlands/450/1988	ha		Other Database Import	GISAID
EPI367174	h3n2	A/Victoria/1/1988	ha		Other Database Import	GISAID
EPI365585	h3n2	A/Shanghai/11/1987	ha		Other Database Import	GISAID
EPI239945	h3n2	A/LosAngeles/1987	ha		Other Database Import	GISAID
EPI365617	h3n2	A/Stockholm/12/1988	ha		Other Database Import	GISAID
EPI84350	h3n2	A/HongKong/2/1988	ha		Other Database Import	GISAID
EPI239981	h3n2	A/Tokyo/1275/1987	ha		Other Database Import	GISAID
EPI239982	h3n2	A/Tokyo/1276/1987	ha		Other Database Import	GISAID
EPI165657	h3n2	A/Siena/3/1988	ha		Other Database Import	GISAID
EPI239977	h3n2	A/Sydney/1/1987	ha		Other Database Import	GISAID
EPI4093	h3n2	A/Kobe/768/1988	ha		Other Database Import	GISAID
EPI83305	h3n2	A/Memphis/1/1990	ha		Other Database Import	GISAID
EPI362521	h3n2	A/Geneva/5007/1989	ha		Other Database Import	GISAID
EPI365626	h3n2	A/Atlanta/211/1989	ha		Other Database Import	GISAID
EPI365770	h3n2	A/Canberra/1/1991	ha		Other Database Import	GISAID
EPI129361	h3n2	A/Finland/133/1990	ha		Other Database Import	GISAID
EPI365746	h3n2	A/Suita/1/1990	ha		Other Database Import	GISAID
EPI365650	h3n2	A/Netherlands/650/1989	ha		Other Database Import	GISAID
EPI165673	h3n2	A/Siena/10/1990	ha		Other Database Import	GISAID
EPI165665	h3n2	A/Siena/4/1990	ha		Other Database Import	GISAID
EPI365704	h3n2	A/Wellington/5/1989	ha		Other Database Import	GISAID
EPI362534	h3n2	A/Singapore/53/1989	ha		Other Database Import	GISAID
EPI78205	h3n2	A/Brazil/2/1991	ha		Other Database Import	GISAID
EPI365754	h3n2	A/Victoria/2/1990	ha		Other Database Import	GISAID
EPI365987	h3n2	A/Nijmegen/3129/1992	ha		Other Database Import	GISAID
EPI365995	h3n2	A/Oviedo/31/1992	ha		Other Database Import	GISAID
EPI365956	h3n2	A/Netherlands/935/1992	ha		Other Database Import	GISAID
EPI3737	h3n2	A/Taiwan/1143/1991	ha		Other Database Import	GISAID
EPI3721	h3n2	A/Singapore/8/1992	ha		Other Database Import	GISAID
EPI366163	h3n2	A/Umea/1982/1992	ha		Other Database Import	GISAID
EPI362622	h3n2	A/Victoria/33/1992	ha		Other Database Import	GISAID
EPI366801	h3n2	A/Netherlands/165/1993	ha		Other Database Import	GISAID
EPI366108	h3n2	A/Paris/614/1992	ha		Other Database Import	GISAID
EPI365946	h3n2	A/Netherlands/819/1992	ha		Other Database Import	GISAID
EPI365778	h3n2	A/England/260/1991	ha		Other Database Import	GISAID
EPI3709	h3n2	A/India/236/1993	ha		Other Database Import	GISAID
EPI3713	h3n2	A/Kasauli/149/1992	ha		Other Database Import	GISAID
EPI365842	h3n2	A/Lyon/1594/1991	ha		Other Database Import	GISAID
EPI171165	h3n2	A/Siena/1/1991	ha		Other Database Import	GISAID
EPI165681	h3n2	A/Siena/5/1991	ha		Other Database Import	GISAID
EPI362541	h3n2	A/Geneva/6447/1991	ha		Other Database Import	GISAID
EPI365906	h3n2	A/Geneva/5113/1992	ha		Other Database Import	GISAID
EPI362615	h3n2	A/Stockholm/8/1992	ha		Other Database Import	GISAID
EPI362608	h3n2	A/SouthAustralia/8/1992	ha		Other Database Import	GISAID
EPI366115	h3n2	A/SouthAustralia/23/1992	ha		Other Database Import	GISAID
EPI366130	h3n2	A/SouthAustralia/27/1992	ha		Other Database Import	GISAID
EPI366019	h3n2	A/Paris/407/1992	ha		Other Database Import	GISAID
EPI366052	h3n2	A/Paris/457/1992	ha		Other Database Import	GISAID
EPI366068	h3n2	A/Paris/512/1991	ha		Other Database Import	GISAID
EPI365922	h3n2	A/Houston/56829/1992	ha		Other Database Import	GISAID
EPI365914	h3n2	A/Houston/56798/1992	ha		Other Database Import	GISAID
EPI545281	h3n2	A/Netherlands/823/1992	ha	National Institute For Public Health And The Environment (rivm)	Other Database Import	GISAID
EPI3649	h3n2	A/Kasauli/206/1991	ha		Other Database Import	GISAID
EPI24028	h3n2	A/Netherlands/938/1992	ha		Other Database Import	GISAID
EPI3951	h3n2	A/Indonesia/3109/1991	ha		Other Database Import	GISAID
EPI362658	h3n2	A/Netherlands/17/1993	ha		Other Database Import	GISAID
EPI366809	h3n2	A/Netherlands/357/1993	ha		Other Database Import	GISAID
EPI3931	h3n2	A/Russia/46967/1994	ha		Other Database Import	GISAID
EPI36270	h3n2	A/NewYork/760/1993	ha		Other Database Import	GISAID
EPI38683	h3n2	A/NewYork/754/1993	ha		Other Database Import	GISAID
EPI365666	h3n2	A/Singapore/3/1993	ha		Other Database Import	GISAID
EPI366139	h3n2	A/Stockholm/12/1992	ha		Other Database Import	GISAID
EPI360594	h3n2	A/Jitie/1/1995	ha		Other Database Import	GISAID
EPI362601	h3n2	A/Sendai/C273/1992	ha		Other Database Import	GISAID
EPI38740	h3n2	A/NewYork/782/1993	ha		Other Database Import	GISAID
EPI3939	h3n2	A/Russia/58/1993	ha		Other Database Import	GISAID
EPI366793	h3n2	A/Netherlands/126/1993	ha		Other Database Import	GISAID
EPI366187	h3n2	A/Akita/4/1993	ha		Other Database Import	GISAID
EPI8894	h3n2	A/Seoul/16/1989	ha		Other Database Import	GISAID
EPI3985	h3n2	A/Argentina/3105/1993	ha		Other Database Import	GISAID
EPI39873	h3n2	A/NewYork/780/1993	ha		Other Database Import	GISAID
EPI37771	h3n2	A/NewYork/786/1993	ha		Other Database Import	GISAID
EPI567796	h3n2	A/Sydney/2/1993	ha	Clinical Virology Unit, Cdim	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI39949	h3n2	A/NewYork/789/1993	ha		Other Database Import	GISAID
EPI37638	h3n2	A/NewYork/767/1993	ha		Other Database Import	GISAID
EPI362770	h3n2	A/SouthAustralia/25/1994	ha		Other Database Import	GISAID
EPI362763	h3n2	A/SouthAustralia/15/1994	ha		Other Database Import	GISAID
EPI367009	h3n2	A/HongKong/434/1996	ha		Other Database Import	GISAID
EPI362728	h3n2	A/HongKong/1/1994	ha		Other Database Import	GISAID
EPI3911	h3n2	A/Argentina/3779/1994	ha		Other Database Import	GISAID
EPI24138	h3n2	A/Johannesburg/33/1994	ha		Other Database Import	GISAID
EPI36441	h3n2	A/NewYork/657/1994	ha		Other Database Import	GISAID
EPI115141	h3n2	A/England/79/1994	ha		Other Database Import	GISAID
EPI115143	h3n2	A/England/121/1995	ha		Other Database Import	GISAID
EPI366985	h3n2	A/HongKong/42/1996	ha		Other Database Import	GISAID
EPI34351	h3n2	A/NewYork/696/1994	ha		Other Database Import	GISAID
EPI115145	h3n2	A/England/178/1995	ha		Other Database Import	GISAID
EPI115155	h3n2	A/England/282/1995	ha		Other Database Import	GISAID
EPI115151	h3n2	A/England/263/1995	ha		Other Database Import	GISAID
EPI115149	h3n2	A/England/258/1995	ha		Other Database Import	GISAID
EPI38056	h3n2	A/NewYork/683/1995	ha		Other Database Import	GISAID
EPI115153	h3n2	A/England/268/1995	ha		Other Database Import	GISAID
EPI37030	h3n2	A/NewYork/664/1995	ha		Other Database Import	GISAID
EPI34750	h3n2	A/NewYork/659/1994	ha		Other Database Import	GISAID
EPI36992	h3n2	A/NewYork/661/1994	ha		Other Database Import	GISAID
EPI34883	h3n2	A/NewYork/679/1995	ha		Other Database Import	GISAID
EPI48302	h3n2	A/NewYork/680/1995	ha		Other Database Import	GISAID
EPI34370	h3n2	A/NewYork/697/1995	ha		Other Database Import	GISAID
EPI362697	h3n2	A/Stockholm/20/1993	ha		Other Database Import	GISAID
EPI362735	h3n2	A/HongKong/2/1994	ha		Other Database Import	GISAID
EPI362690	h3n2	A/Singapore/19/1993	ha		Other Database Import	GISAID
EPI3919	h3n2	A/Singapore/7/1994	ha		Other Database Import	GISAID
EPI39721	h3n2	A/NewYork/757/1993	ha		Other Database Import	GISAID
EPI39740	h3n2	A/NewYork/766/1993	ha		Other Database Import	GISAID
EPI40139	h3n2	A/NewYork/802/1993	ha		Other Database Import	GISAID
EPI37676	h3n2	A/NewYork/771/1993	ha		Other Database Import	GISAID
EPI39892	h3n2	A/NewYork/784/1993	ha		Other Database Import	GISAID
EPI40120	h3n2	A/NewYork/801/1993	ha		Other Database Import	GISAID
EPI40082	h3n2	A/NewYork/798/1993	ha		Other Database Import	GISAID
EPI34712	h3n2	A/NewYork/654/1994	ha		Other Database Import	GISAID
EPI362633	h3n2	A/Lyon/22686/1993	ha		Other Database Import	GISAID
EPI366897	h3n2	A/Netherlands/18/1994	ha		Other Database Import	GISAID
EPI35624	h3n2	A/NewYork/712/1993	ha		Other Database Import	GISAID
EPI366400	h3n2	A/Lyon/1815/1993	ha		Other Database Import	GISAID
EPI38303	h3n2	A/NewYork/741/1994	ha		Other Database Import	GISAID
EPI35700	h3n2	A/NewYork/720/1994	ha		Other Database Import	GISAID
EPI38189	h3n2	A/NewYork/725/1994	ha		Other Database Import	GISAID
EPI48359	h3n2	A/NewYork/704/1994	ha		Other Database Import	GISAID
EPI44214	h3n2	A/NewYork/737/1994	ha		Other Database Import	GISAID
EPI362670	h3n2	A/Netherlands/241/1993	ha		Other Database Import	GISAID
EPI35757	h3n2	A/NewYork/727/1994	ha		Other Database Import	GISAID
EPI36555	h3n2	A/NewYork/729/1994	ha		Other Database Import	GISAID
EPI39156	h3n2	A/NewYork/745/1994	ha		Other Database Import	GISAID
EPI34921	h3n2	A/NewYork/751/1993	ha		Other Database Import	GISAID
EPI39080	h3n2	A/NewYork/731/1994	ha		Other Database Import	GISAID
EPI36973	h3n2	A/NewYork/655/1994	ha		Other Database Import	GISAID
EPI46269	h3n2	A/NewYork/706/1993	ha		Other Database Import	GISAID
EPI36536	h3n2	A/NewYork/722/1994	ha		Other Database Import	GISAID
EPI38284	h3n2	A/NewYork/740/1994	ha		Other Database Import	GISAID
EPI366888	h3n2	A/HongKong/56/1994	ha		Other Database Import	GISAID
EPI8914	h3n2	A/Gangwon/12/1999	ha		Other Database Import	GISAID
EPI34826	h3n2	A/NewYork/671/1995	ha		Other Database Import	GISAID
EPI3867	h3n2	A/Johannesburg/2/1995	ha		Other Database Import	GISAID
EPI373095	h3n2	A/Malaysia/7832/1995	ha		Other Database Import	GISAID
EPI373079	h3n2	A/Malaysia/7145/1995	ha		Other Database Import	GISAID
EPI366929	h3n2	A/Geneva/A9509/1995	ha		Other Database Import	GISAID
EPI34598	h3n2	A/NewYork/632/1996	ha		Other Database Import	GISAID
EPI37106	h3n2	A/NewYork/678/1995	ha		Other Database Import	GISAID
EPI366945	h3n2	A/HongKong/49/1995	ha		Other Database Import	GISAID
EPI11280	h3n2	A/BuenosAires/4084/1995	ha		Other Database Import	GISAID
EPI362801	h3n2	A/Netherlands/271/1995	ha		Other Database Import	GISAID
EPI130969	h3n2	A/Shiga/20/1995	ha		Other Database Import	GISAID
EPI176077	h3n2	A/Siena/3/1995	ha		Other Database Import	GISAID
EPI362814	h3n2	A/Victoria/75/1995	ha		Other Database Import	GISAID
EPI6398	h3n2	A/Johannesburg/53/1996	ha		Other Database Import	GISAID
EPI32729	h3n2	A/NewYork/606/1995	ha		Other Database Import	GISAID
EPI35472	h3n2	A/NewYork/647/1995	ha		Other Database Import	GISAID
EPI115157	h3n2	A/England/286/1995	ha		Other Database Import	GISAID
EPI36422	h3n2	A/NewYork/639/1995	ha		Other Database Import	GISAID
EPI34636	h3n2	A/NewYork/636/1996	ha		Other Database Import	GISAID
EPI34655	h3n2	A/NewYork/641/1996	ha		Other Database Import	GISAID
EPI32805	h3n2	A/NewYork/611/1995	ha		Other Database Import	GISAID
EPI32843	h3n2	A/NewYork/613/1996	ha		Other Database Import	GISAID
EPI34579	h3n2	A/NewYork/624/1996	ha		Other Database Import	GISAID
EPI33185	h3n2	A/NewYork/623/1995	ha		Other Database Import	GISAID
EPI3863	h3n2	A/Guangxi/42/1995	ha		Other Database Import	GISAID
EPI360639	h3n2	A/Shanghai/5/1996	ha		Other Database Import	GISAID
EPI360649	h3n2	A/Wuhan/30/1996	ha		Other Database Import	GISAID
EPI360622	h3n2	A/Fujian/152/1996	ha		Other Database Import	GISAID
EPI360607	h3n2	A/Shanghai/11/1995	ha		Other Database Import	GISAID
EPI347456	h3n2	A/SaudiArabia/24/1996	ha	Ministry Of Health Riyadh	National Institute For Medical Research	GISAID
EPI360638	h3n2	A/Shandong/22/1996	ha		Other Database Import	GISAID
EPI35491	h3n2	A/NewYork/652/1996	ha		Other Database Import	GISAID
EPI115139	h3n2	A/England/731/1997	ha		Other Database Import	GISAID
EPI373087	h3n2	A/Malaysia/7831/1995	ha		Other Database Import	GISAID
EPI362827	h3n2	A/Singapore/1/1996	ha		Other Database Import	GISAID
EPI366969	h3n2	A/Geneva/3958/1996	ha		Other Database Import	GISAID
EPI360600	h3n2	A/Shanxi/2/1995	ha		Other Database Import	GISAID
EPI360601	h3n2	A/Shanxi/5/1995	ha		Other Database Import	GISAID
EPI362788	h3n2	A/HongKong/55/1995	ha		Other Database Import	GISAID
EPI371726	h3n2	A/Malaysia/10135/1996	ha		Other Database Import	GISAID
EPI373103	h3n2	A/Malaysia/10111/1996	ha		Other Database Import	GISAID
EPI371719	h3n2	A/Malaysia/10081/1996	ha		Other Database Import	GISAID
EPI360602	h3n2	A/Shanxi/28/1995	ha		Other Database Import	GISAID
EPI32957	h3n2	A/NewYork/631/1996	ha		Other Database Import	GISAID
EPI32482	h3n2	A/NewYork/617/1996	ha		Other Database Import	GISAID
EPI32748	h3n2	A/NewYork/608/1996	ha		Other Database Import	GISAID
EPI367017	h3n2	A/Lyon/1781/1996	ha		Other Database Import	GISAID
EPI362882	h3n2	A/Nice/491/1997	ha		Other Database Import	GISAID
EPI362847	h3n2	A/Johannesburg/10/1997	ha		Other Database Import	GISAID
EPI373167	h3n2	A/Malaysia/11473/1996	ha		Other Database Import	GISAID
EPI367214	h3n2	A/Netherlands/5/1998	ha		Other Database Import	GISAID
EPI30127	h3n2	A/NewYork/583/1997	ha		Other Database Import	GISAID
EPI161141	h3n2	A/HongKong/CUHK4147/1997	ha		Other Database Import	GISAID
EPI1919367	h3n2	A/Perth/11/1997	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI161149	h3n2	A/HongKong/CUHK4391/1997	ha		Other Database Import	GISAID
EPI161153	h3n2	A/HongKong/CUHK4622/1997	ha		Other Database Import	GISAID
EPI161151	h3n2	A/HongKong/CUHK4529/1997	ha		Other Database Import	GISAID
EPI160986	h3n2	A/HongKong/CUHK12626/1997	ha		Other Database Import	GISAID
EPI161068	h3n2	A/HongKong/CUHK22736/1997	ha		Other Database Import	GISAID
EPI1919384	h3n2	A/Perth/6/1997	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1919386	h3n2	A/Perth/8/1997	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI160987	h3n2	A/HongKong/CUHK12794/1997	ha		Other Database Import	GISAID
EPI1919369	h3n2	A/Perth/12/1997	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI161152	h3n2	A/HongKong/CUHK4542/1997	ha		Other Database Import	GISAID
EPI161154	h3n2	A/HongKong/CUHK4803/1997	ha		Other Database Import	GISAID
EPI161057	h3n2	A/HongKong/CUHK22013/1997	ha		Other Database Import	GISAID
EPI160983	h3n2	A/HongKong/CUHK12566/1997	ha		Other Database Import	GISAID
EPI1885174	h3n2	A/Perth/201B/1998	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1885177	h3n2	A/Perth/201C/1998	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1885191	h3n2	A/Perth/201I/1998	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1885180	h3n2	A/Perth/201D/1998	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1885235	h3n2	A/Perth/201K/1998	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1885185	h3n2	A/Perth/201G/1998	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1885188	h3n2	A/Perth/201H/1998	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI1885182	h3n2	A/Perth/201F/1998	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI30032	h3n2	A/NewYork/569/1997	ha		Other Database Import	GISAID
EPI360654	h3n2	A/Beijing/65/1997	ha		Other Database Import	GISAID
EPI360616	h3n2	A/Beijing/259/1996	ha		Other Database Import	GISAID
EPI30620	h3n2	A/NewYork/589/1996	ha		Other Database Import	GISAID
EPI37923	h3n2	A/NewYork/554/1996	ha		Other Database Import	GISAID
EPI34161	h3n2	A/NewYork/557/1996	ha		Other Database Import	GISAID
EPI360620	h3n2	A/Fujian/126/1996	ha		Other Database Import	GISAID
EPI360640	h3n2	A/Shanghai/9/1996	ha		Other Database Import	GISAID
EPI161145	h3n2	A/HongKong/CUHK4245/1997	ha		Other Database Import	GISAID
EPI171181	h3n2	A/Siena/1/1997	ha		Other Database Import	GISAID
EPI31266	h3n2	A/NewYork/563/1996	ha		Other Database Import	GISAID
EPI360632	h3n2	A/Hainan/3/1996	ha		Other Database Import	GISAID
EPI360645	h3n2	A/Shenzhen/106/1996	ha		Other Database Import	GISAID
EPI34180	h3n2	A/NewYork/559/1996	ha		Other Database Import	GISAID
EPI314871	h3n2	A/Scotland/31/1997	ha		Other Database Import	GISAID
EPI373111	h3n2	A/Malaysia/10360/1996	ha		Other Database Import	GISAID
EPI360612	h3n2	A/Guangzhou/44/1996	ha		Other Database Import	GISAID
EPI36384	h3n2	A/NewYork/556/1996	ha		Other Database Import	GISAID
EPI314865	h3n2	A/Scotland/38/1996	ha		Other Database Import	GISAID
EPI347451	h3n2	A/Dakar/1/1998	ha	Institut Pasteur De Dakar	National Institute For Medical Research	GISAID
EPI371843	h3n2	A/Malaysia/13241/1997	ha		Other Database Import	GISAID
EPI4280	h3n2	A/Fukushima/140/1996	ha		Other Database Import	GISAID
EPI360664	h3n2	A/Tianjin/64/1997	ha		Other Database Import	GISAID
EPI160976	h3n2	A/HongKong/CUHK12160/1997	ha		Other Database Import	GISAID
EPI6296	h3n2	A/Russia/41/1997	ha		Other Database Import	GISAID
EPI360706	h3n2	A/Wuhan/34/1998	ha		Other Database Import	GISAID
EPI360696	h3n2	A/Shanghai/34/1998	ha		Other Database Import	GISAID
EPI360689	h3n2	A/Hangzhou/16/1998	ha		Other Database Import	GISAID
EPI373159	h3n2	A/Malaysia/10997/1996	ha		Other Database Import	GISAID
EPI161019	h3n2	A/HongKong/CUHK18230/1998	ha		Other Database Import	GISAID
EPI161024	h3n2	A/HongKong/CUHK19579/1998	ha		Other Database Import	GISAID
EPI91656	h3n2	A/NewYork/534/1998	ha		Other Database Import	GISAID
EPI90839	h3n2	A/NewYork/503/1997	ha		Other Database Import	GISAID
EPI95440	h3n2	A/NewYork/502/1998	ha		Other Database Import	GISAID
EPI28740	h3n2	A/NewYork/507/1997	ha		Other Database Import	GISAID
EPI367041	h3n2	A/Netherlands/300/1997	ha		Other Database Import	GISAID
EPI1919371	h3n2	A/Perth/13/1997	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
