strain	strain_name	date	country	host	genotype	subgenotype
KC875323	None	2014-10-23	India	Homo sapiens	D	None
KC875324	None	2014-10-23	India	Homo sapiens	D	None
KC875330	None	2014-10-23	India	Homo sapiens	D	None
KC875329	None	2014-10-23	India	Homo sapiens	D	None
KC875331	None	2014-10-23	India	Homo sapiens	D	None
KC875315	None	2014-10-23	India	Homo sapiens	D	None
FJ692506	None	2006-XX-XX	Haiti	Homo sapiens	D	None
FJ692507	None	2006-XX-XX	Haiti	Homo sapiens	D	None
MH724214	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MH724221	None	2013-XX-XX	Brazil	Homo sapiens	D	D3
MH724215	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MH724220	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
FJ349232	None	2006-XX-XX	Belgium	Homo sapiens	D	None
KP090180	None	2003-06-15	Brazil	Homo sapiens	D	D3
GU563560	None	2005-XX-XX	Belgium	Homo sapiens	D	None
AY233292	None	2004-04-23	South Africa	None	D	None
AY233294	None	2004-04-23	South Africa	None	D	None
AY233293	None	2004-04-23	South Africa	None	D	None
KU668434	None	2016-08-14	India	Homo sapiens	D	None
JN664936	None	2012-09-26	India	Homo sapiens	D	None
MW082640	None	2012-XX-XX	France	Homo sapiens	D	None
MW082641	None	2013-XX-XX	France	Homo sapiens	D	None
MG877709	None	2006-01-27	Argentina	Homo sapiens	D	None
MG877711	None	2013-11-08	Argentina	Homo sapiens	D	None
KX827292	None	2010-02-01	USA	Homo sapiens	D	None
JX898686	None	1975-XX-XX	Sweden	Homo sapiens	D	D3
JX898689	None	1986-XX-XX	Sweden	Homo sapiens	D	D3
JX898690	None	1996-XX-XX	Sweden	Homo sapiens	D	D3
JX898691	None	1996-XX-XX	Sweden	Homo sapiens	D	D3
JX898692	None	1996-XX-XX	Sweden	Homo sapiens	D	D3
JX898687	None	1975-XX-XX	Sweden	Homo sapiens	D	D3
JX898688	None	1975-XX-XX	Sweden	Homo sapiens	D	D3
JX898697	None	2009-XX-XX	Sweden	Homo sapiens	D	D3
JX898698	None	2008-XX-XX	Sweden	Homo sapiens	D	D3
JX898699	None	2008-XX-XX	Sweden	Homo sapiens	D	D3
HE815465	None	2012-07-09	Mauritius	Macaca fascicularis	D	D3
JX898693	None	1996-XX-XX	Sweden	Homo sapiens	D	D3
JX898694	None	2008-XX-XX	Sweden	Homo sapiens	D	D3
JX898695	None	2008-XX-XX	Sweden	Homo sapiens	D	D3
JX898696	None	2008-XX-XX	Sweden	Homo sapiens	D	D3
KJ843187	None	2011-03-09	Argentina	Homo sapiens	D	None
KC012652	None	2009-XX-XX	Argentina	Homo sapiens	D	D3
JX470760	None	2008-XX-XX	Argentina	None	D	D3
AB210819	Toshima 1	2007-03-13	Japan:Tokyo	None	D	None
MF488704	None	2017-08-26	India	Homo sapiens	D	None
KU668444	None	2016-08-14	India	Homo sapiens	D	None
MH724224	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MH724225	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MH724227	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MH724228	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MH724229	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MH724230	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MH724248	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MH724232	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MN310711	None	2015-XX-XX	Brazil	Homo sapiens	D	D3
MH724242	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MN310712	None	2010-XX-XX	Brazil	Homo sapiens	D	D3
HQ236014	None	2007-XX-XX	Serbia	Homo sapiens	D	D3
HQ236015	None	2007-XX-XX	Serbia	Homo sapiens	D	D3
HQ236016	None	2007-XX-XX	Serbia	Homo sapiens	D	D3
MN310710	None	2015-XX-XX	Brazil	Homo sapiens	D	D3
MN310709	None	2010-XX-XX	Brazil	Homo sapiens	D	D3
MH724222	None	2013-XX-XX	Brazil	Homo sapiens	D	D3
KP090179	None	2003-06-15	Brazil	Homo sapiens	D	D3
MH724233	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MH724226	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MH724249	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MH724250	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
JN688678	None	2008-XX-XX	Argentina	Homo sapiens	D	None
GQ922001	None	1984-11-30	Canada	Homo sapiens	D	D3
GQ922002	None	1985-01-21	Canada	Homo sapiens	D	D3
JN688722	None	2011-03-26	Argentina	Homo sapiens	D	None
MH724235	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
AY233296	None	2004-04-23	South Africa	None	D	None
MH724240	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
KU668442	None	2016-08-14	India	Homo sapiens	D	None
KU668443	None	2016-08-14	India	Homo sapiens	D	None
KU668445	None	2016-08-14	India	Homo sapiens	D	None
JN664909	None	2012-09-26	India	Homo sapiens	D	None
JN664910	None	2012-09-26	India	Homo sapiens	D	None
AB554016	None	2022-02-04	Indonesia:Papua	Homo sapiens	D	None
AB554023	None	2022-02-04	Indonesia:Papua	Homo sapiens	D	None
AB554024	None	2022-02-04	Indonesia:Papua	Homo sapiens	D	None
EU921419	None	2007-08-02	Indonesia	Homo sapiens	D	None
EU921418	None	2007-05-13	Indonesia	Homo sapiens	D	None
MH724237	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MN310714	None	2010-XX-XX	Brazil	Homo sapiens	D	D3
MN310715	None	2014-XX-XX	Brazil	Homo sapiens	D	D3
JN688708	None	2010-XX-XX	Argentina	Homo sapiens	D	None
JN664916	None	2012-09-26	India	Homo sapiens	D	None
MH724234	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
KJ647353	None	2011-03-26	Argentina	Homo sapiens	D	D3
KX827302	None	2010-02-01	USA	Homo sapiens	D	None
KJ647349	None	2010-10-06	Argentina	Homo sapiens	D	D3
JN688679	None	2008-XX-XX	Argentina	Homo sapiens	D	None
KM386676	None	2009-XX-XX	Argentina	Homo sapiens	D	D3
JN688685	None	2008-XX-XX	Argentina	Homo sapiens	D	None
JN688683	None	2009-XX-XX	Argentina	Homo sapiens	D	None
FJ349214	None	1999-02-XX	Belgium	Homo sapiens	D	None
KJ647355	None	2011-05-28	Argentina	Homo sapiens	D	D3
FJ349213	None	1999-03-XX	Belgium	Homo sapiens	D	None
MG877718	None	2004-06-08	Argentina	Homo sapiens	D	None
MG877719	None	2008-04-24	Argentina	Homo sapiens	D	None
MG877720	None	2015-02-25	Argentina	Homo sapiens	D	None
FJ349212	None	1998-12-XX	Belgium	Homo sapiens	D	None
AJ627221	None	2006-02-09	Spain	None	D	None
AY902768	None	2016-07-26	USA: Montana	None	D	None
AY902776	None	2016-07-26	USA: Montana	None	D	None
AY902769	None	2016-07-26	USA: Montana	None	D	None
AY902774	None	2016-07-26	USA: Montana	None	D	None
AY902772	None	2016-07-26	USA: Montana	None	D	None
AY902777	None	2016-07-26	USA: Montana	None	D	None
AY902773	None	2016-07-26	USA: Montana	None	D	None
AY902770	None	2016-07-26	USA: Montana	None	D	None
MH724245	None	2012-XX-XX	Brazil	Homo sapiens	D	D3
JN688710	None	2010-XX-XX	Argentina	Homo sapiens	D	None
MH724239	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
MH724243	None	2004-XX-XX	Brazil	Homo sapiens	D	D3
KM359442	None	2009-XX-XX	Argentina	None	D	D3
MG877726	None	2004-03-30	Argentina	Homo sapiens	D	None
MG877727	None	2009-10-08	Argentina	Homo sapiens	D	None
MG877728	None	2014-08-05	Argentina	Homo sapiens	D	None
MK541688	None	2016-02-XX	India	Homo sapiens	D	D3
KF679988	None	2013-12-22	India	Homo sapiens	D	D3
KF679990	None	2013-12-22	India	Homo sapiens	D	D3
EU594434	683-95	2008-08-05	Estonia	None	D	None
AB270537	None	2005-XX-XX	Mongolia:Ulaanbaatar	None	D	None
JN664943	None	2012-09-26	India	Homo sapiens	D	None
JN688689	None	2009-XX-XX	Argentina	Homo sapiens	D	None
OK143467	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143473	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143468	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143480	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	D	D3
OK143488	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143469	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143476	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143471	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143486	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143485	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	D	D3
OK143494	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	D	D3
OK143497	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
JN688712	None	2011-01-19	Argentina	Homo sapiens	D	None
JN688715	None	2011-02-05	Argentina	Homo sapiens	D	None
KM577666	None	2006-XX-XX	Iran	Homo sapiens	D	None
KU668433	None	2016-08-14	India	Homo sapiens	D	None
KU668435	None	2016-08-14	India	Homo sapiens	D	None
JN688713	None	2011-02-04	Argentina	Homo sapiens	D	None
ON585704	None	2018-11-28	Brazil: Guajara Mirim, RO	Homo sapiens	D	D3
JN688711	None	2011-01-19	Argentina	Homo sapiens	D	None
KF679991	None	2013-12-22	India	Homo sapiens	D	D3
GQ922000	None	1985-01-14	Canada	Homo sapiens	D	D3
KJ647351	None	2011-02-05	Argentina	Homo sapiens	D	D3
JF754625	None	2011-08-01	Turkey	Homo sapiens	D	None
KT749845	None	2004-XX-XX	Belgium	Homo sapiens	D	None
FJ349221	None	1999-08-XX	Belgium	Homo sapiens	D	None
LC519824	None	2010-10-06	Bangladesh:Dhaka	Homo sapiens	D	None
JN664919	None	2012-09-26	India	Homo sapiens	D	None
JN664942	None	2012-09-26	India	Homo sapiens	D	None
JN664948	None	2012-09-26	India	Homo sapiens	D	None
JN664921	None	2012-09-26	India	Homo sapiens	D	None
JN664920	None	2012-09-26	India	Homo sapiens	D	None
JN664922	None	2012-09-26	India	Homo sapiens	D	None
JN664935	None	2012-09-26	India	Homo sapiens	D	None
JN688716	None	2011-02-05	Argentina	Homo sapiens	D	None
FJ349211	None	1998-12-XX	Belgium	Homo sapiens	D	None
MF488699	None	2017-08-26	India	Homo sapiens	D	None
JQ023666	None	2012-12-02	Colombia	None	D	D3
KC774456	None	2012-04-01	China	Homo sapiens	D	None
FJ562263	None	2007-09-06	China	Homo sapiens	D	None
MZ097656	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097667	None	2022-05-10	Germany	Homo sapiens	D	None
KF779209	None	1998-XX-XX	USA	None	D	None
KF779212	None	1999-XX-XX	USA	None	D	None
KF779285	None	1999-XX-XX	USA	None	D	None
KF779288	None	1999-XX-XX	USA	None	D	None
KF779303	None	2002-XX-XX	USA	None	D	None
KF779296	None	2001-XX-XX	USA	None	D	None
KF779318	None	2000-XX-XX	USA	None	D	None
KF779216	None	1999-XX-XX	USA	None	D	None
KF779301	None	2002-XX-XX	USA	None	D	None
KF779302	None	2002-XX-XX	USA	None	D	None
KF779292	None	2000-XX-XX	USA	None	D	None
KF779376	None	2000-XX-XX	USA	None	D	None
KF779377	None	2000-XX-XX	USA	None	D	None
KF779340	None	2002-XX-XX	USA	None	D	None
KF779341	None	2002-XX-XX	USA	None	D	None
KF779380	None	2003-XX-XX	USA	None	D	None
KF779218	None	2000-XX-XX	USA	None	D	None
KF779289	None	2000-XX-XX	USA	None	D	None
KF779228	None	2003-XX-XX	USA	None	D	None
KF779229	None	2003-XX-XX	USA	None	D	None
KF779230	None	2003-XX-XX	USA	None	D	None
KF779224	None	2002-XX-XX	USA	None	D	None
KF779241	None	2004-XX-XX	USA	None	D	None
KF779217	None	2000-XX-XX	USA	None	D	None
KF779223	None	2002-XX-XX	USA	None	D	None
KF779226	None	2003-XX-XX	USA	None	D	None
KF779343	None	2003-XX-XX	USA	None	D	None
KF779225	None	2002-XX-XX	USA	None	D	None
KF779219	None	2001-XX-XX	USA	None	D	None
KF779222	None	2002-XX-XX	USA	None	D	None
MZ097694	None	2022-05-10	Germany	Homo sapiens	D	None
DQ464168	None	2016-07-14	Italy	None	D	None
DQ464169	None	2016-07-14	Italy	None	D	None
DQ464170	None	2016-07-14	Italy	None	D	None
DQ486025	None	2006-05-04	Italy	None	D	None
MZ097789	None	2022-05-10	Germany	Homo sapiens	D	None
MW601275	HBV050	2013-02-14	Germany	Homo sapiens	D	None
MW601286	HBV061	2014-05-13	Germany	Homo sapiens	D	None
MW601241	HBV016	2008-01-30	Germany	Homo sapiens	D	None
MW601242	HBV017	2007-07-23	Germany	Homo sapiens	D	None
MW601334	HBV109	2007-08-27	Germany	Homo sapiens	D	None
KF779214	None	1999-XX-XX	USA	None	D	None
MW601260	HBV035	2009-10-28	Germany	Homo sapiens	D	None
MW601257	HBV032	2006-07-27	Germany	Homo sapiens	D	None
MW601235	HBV010	2012-05-16	Germany	Homo sapiens	D	None
MW601324	HBV099	2011-06-10	Germany	Homo sapiens	D	None
MW601290	HBV065	2012-09-17	Germany	Homo sapiens	D	None
MW601284	HBV059	2013-11-11	Germany	Homo sapiens	D	None
MW601295	HBV070	2011-06-14	Germany	Homo sapiens	D	None
MW601227	HBV002	2010-02-23	Germany	Homo sapiens	D	None
MZ097806	None	2022-05-10	Germany	Homo sapiens	D	None
MW601308	HBV083	2014-09-19	Germany	Homo sapiens	D	None
MZ097882	None	2022-05-10	United Kingdom	Homo sapiens	D	None
MW601264	HBV039	2010-04-29	Germany	Homo sapiens	D	None
MW601287	HBV062	2014-04-25	Germany	Homo sapiens	D	None
MW601327	HBV102	2009-07-23	Germany	Homo sapiens	D	None
MW601267	HBV042	2007-02-05	Germany	Homo sapiens	D	None
MW601296	HBV071	2014-07-22	Germany	Homo sapiens	D	None
MW601233	HBV008	2012-03-14	Germany	Homo sapiens	D	None
MW601234	HBV009	2014-07-30	Germany	Homo sapiens	D	None
MZ097879	None	2022-05-10	United Kingdom	Homo sapiens	D	None
MW601311	HBV086	2010-03-03	Germany	Homo sapiens	D	None
MW601272	HBV047	2013-09-30	Germany	Homo sapiens	D	None
MW601305	HBV080	2014-06-13	Germany	Homo sapiens	D	None
MW601317	HBV092	2011-12-02	Germany	Homo sapiens	D	None
MW601310	HBV085	2013-02-25	Germany	Homo sapiens	D	None
DQ464171	None	2016-07-14	Italy	None	D	None
DQ464180	None	2016-07-14	Italy	None	D	None
DQ464172	None	2016-07-14	Italy	None	D	None
DQ464174	None	2016-07-14	Italy	None	D	None
DQ336674	None	2016-07-26	Italy	None	D	None
DQ336675	None	2016-07-26	Italy	None	D	None
DQ336678	None	2016-07-26	Italy	None	D	None
DQ336676	None	2016-07-26	Italy	None	D	None
DQ336679	None	2016-07-26	Italy	None	D	None
DQ336677	None	2016-07-26	Italy	None	D	None
DQ336686	None	2016-07-26	Italy	None	D	None
DQ336687	None	2016-07-26	Italy	None	D	None
DQ336688	None	2016-07-26	Italy	None	D	None
DQ336692	None	2016-07-26	Italy	None	D	None
DQ336689	None	2016-07-26	Italy	None	D	None
DQ464178	None	2016-07-14	Italy	None	D	None
DQ336685	None	2016-07-26	Italy	None	D	None
DQ464173	None	2016-07-14	Italy	None	D	None
DQ486022	None	2006-05-04	Italy	None	D	None
DQ336690	None	2016-07-26	Italy	None	D	None
DQ464175	None	2016-07-14	Italy	None	D	None
DQ486021	None	2006-05-04	Italy	None	D	None
DQ464176	None	2016-07-14	Italy	None	D	None
DQ464177	None	2016-07-14	Italy	None	D	None
DQ329356	None	2006-02-05	Italy	None	D	None
DQ329357	None	2006-02-05	Italy	None	D	None
KF779382	None	2005-XX-XX	USA	None	D	None
DQ486024	None	2006-05-04	Italy	None	D	None
MF967563	AD38	2017-01-XX	USA	Homo sapiens	D	None
KF779237	None	2003-XX-XX	USA	None	D	None
KF779250	None	2006-XX-XX	USA	None	D	None
DQ464164	None	2016-07-14	Italy	None	D	None
DQ464165	None	2016-07-14	Italy	None	D	None
DQ464166	None	2016-07-14	Italy	None	D	None
DQ464167	None	2016-07-14	Italy	None	D	None
